model,latitude,longitude,distance_m,distance_km,r_min_m,v_safe_kmh,altitude_m,heading_deg,grade_pct,stop_event,lap,s_m,t_s,v_kmh,a_ms2,v_ceiling_kmh,f_traction_n,f_drag_n,f_roll_n,f_grade_n,f_cornering_n,p_wheel_w,p_motor_mech_w,p_motor_elec_w,p_fc_elec_w,h2_flow_m3_s,h2_cumulative_m3,accessory_energy_cumulative_j,buffer_soc_wh,motor_clipped,motor_state,active_motor,weather_scenario,motor_name,fc_name,rule_violation,v_cmd_mpc,v_cmd_corrected,driver_deviation,mpc_mode,driver_throttle_pct,driver_brake_pct,drive_phase,gas_glide_num,x_m,y_m,lap_distance_km,stop_label
Fuzzy,25.490281435386116,51.45337670090889,4908.395617751525,4.908395617751525,334.27008593453456,190.06196885722275,13.0,114.62220002931788,0.0836751393314552,False,2,4908.395617751525,718.5137147396342,27.873608105078045,0.0022445272098738,142.62087011362328,10.402638662053818,1.1343302072850858,6.199917829555174,1.2969474705790072,1.4168078554744814,80.54418703467265,100.6802337933408,158.35979473311772,185.9553274812419,2.405941386687739e-05,0.0190951649285905,10642.705721094508,,False,accel,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,gas,1,-0.4546079915585803,156.79642984324693,1.2821979395978111,
Fuzzy,25.490262733189446,51.453421908866,4913.391947669237,4.913391947669237,401.5031108123307,208.30079360394117,13.0,113.90642387993807,0.0748540999896437,False,2,4913.391947669237,719.1589525428413,27.878821818780143,0.001111644559521,141.25224946019682,9.872271209343388,1.1564898510684312,6.199918263050895,1.1602232539750754,1.180000000844664,76.45202499776595,95.56503124720744,146.77596009016514,173.0844001001835,2.219493238910088e-05,0.0191106889719404,10652.384288142615,,False,accel,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,gas,1,4.088118148580642,154.71801732296638,1.2871942695155232,
Fuzzy,25.49024453957494,51.4534673787545,4918.389272162896,4.918389272162896,453.98672901483445,221.4971008500494,13.1,113.27321341143244,0.070457590812705,False,2,4918.389272162896,719.8042285567285,27.88140416203296,-0.0602021422295698,139.86996112439135,0.0,1.1761635311655196,6.199918461096079,1.092078295010109,1.043778185000322,0.0,0.0,0.0,10.0,1.1524264625778036e-06,0.019125010829441,10662.063428350924,,False,cruise,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,glide,0,8.657164491672964,152.69612455582734,1.2921915940091822,
Fuzzy,25.490226798266804,51.45351307477576,4923.3875009704,4.923387500970399,475.33876122303417,226.64601230892896,13.2,112.6683107826006,0.0682825117301213,False,2,4923.3875009704,720.4512183660879,27.741183540946075,-0.0596380713490055,138.4736211444883,0.0,1.1776415016856083,6.19991855464372,1.0583650285831423,0.9868901882304012,0.0,0.0,0.0,10.0,1.1524264625778036e-06,0.0191257564376183,10671.768275491311,,False,cruise,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,glide,0,13.248933807530635,150.7244974998194,1.2971898228166854,
Fuzzy,25.49020949258926,51.453558977935515,4928.386183333034,4.928386183333034,457.7543597529086,222.41430278928377,13.3,112.04005611057846,0.0683153709896804,False,2,4928.386183333034,721.1015387083286,27.60156167745315,-0.0598313316335788,137.06292792855714,0.0,1.1800461546661676,6.199918553252302,1.0588743401780842,1.0145113500089022,0.0,0.0,0.0,10.0,1.1524264625778036e-06,0.0191265058839899,10681.523080624922,,False,cruise,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,glide,0,17.861517455621527,148.80128294286516,1.3021885051793198,
Fuzzy,25.490192641301626,51.4536050912274,4933.3853747037765,4.933385374703777,462.4533192194533,223.5529564777793,13.3,111.4180688617704,0.0705583747979982,False,2,4933.3853747037765,721.7552375899277,27.460759648988702,-0.059935334498666,135.63741774068063,0.0,1.1822402223702195,6.199918456690372,1.0936404254604657,0.9939837462681708,0.0,0.0,0.0,10.0,1.1524264625778036e-06,0.0191272592238796,10691.328563848909,,False,cruise,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,glide,0,22.495216252610167,146.92856564565164,1.3071876965500628,
Fuzzy,25.49017624191186,51.453651407137976,4938.3850674413825,4.9383850674413825,469.7890585399464,225.3190524515715,13.4,110.80639330343053,0.0728052734717932,False,2,4938.3850674413825,722.4123745867761,27.3189710364055,-0.0600055849332008,134.19662061350004,0.0,1.184112599431194,6.1999183568334235,1.1284668786801209,0.9683845845010022,0.0,0.0,0.0,10.0,1.1524264625778036e-06,0.0191280165259443,10701.185618801634,,False,cruise,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,glide,0,27.14927520877222,145.1060686623557,1.3121873892876683,
Fuzzy,25.49016032588693,51.453697809071606,4943.373644500408,4.943373644500408,489.9113214932659,230.0939529482683,13.4,110.2211512749991,0.0728292976696353,False,2,4943.373644500408,723.071469602817,27.176593261334748,-0.059701912272803,132.74344138967413,0.0,1.185188692595201,6.199918355748825,1.1288392486456678,0.918955842113183,0.0,0.0,0.0,10.0,1.1524264625778036e-06,0.0191287760844821,10711.072044042248,,False,cruise,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,glide,0,31.811978200525456,143.33728897963675,1.317175966346694,
Fuzzy,25.49014487627086,51.45374427512947,4948.3502494859695,4.948350249485969,510.0645026014125,234.7788751145357,13.5,109.6598215138368,0.077248902917296,False,2,4948.3502494859695,723.7324327180213,27.034534518424618,-0.0598503008272455,131.277722513367,0.0,1.1856437632694763,6.199918150132867,1.1973421881869883,0.8734434291154598,0.0,0.0,0.0,10.0,1.1524264625778036e-06,0.0191295377958669,10720.986490770312,,False,cruise,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,glide,0,36.48112472267464,141.6203422467397,1.3221525713322553,
Fuzzy,25.49012984712107,51.45379087930198,4953.324114607041,4.9533241146070415,489.5144170752065,230.00072810643377,13.6,109.07519569113153,0.0816653138946398,False,2,4953.324114607041,724.396524995666,26.891448477085913,-0.0604622584382267,129.79627373881743,0.0,1.1868206430813295,6.199917932568428,1.2657956102105172,0.9005026473795456,0.0,0.0,0.0,10.0,1.1524264625778036e-06,0.0191303031133812,10730.947874934982,,False,cruise,BG 42x30 dCore,typical_january,BLDC 650W + BG 42x30 dCore,SZFC-1000,False,,,,,,,glide,0,41.16414970800194,139.95012277232527,1.3271264364533275,
