,TabFM+,EXAONE-Tabular (default),"AutoGluon 1.6 (noncommercial, 4h)",TabFM (default),"AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)",RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabPFNv2 (T+E),TabICLv2 (default),TabPFN-3 (default),RealMLP (T+E),LimiX (default),"AutoGluon 1.4 (best, 4h)",TabM (T+E),Mitra (default),TabDPT (T+E),TabDPT-Turbo (default),CatBoost (T+E),LightGBM (T+E),SAP-RPT-OSS (default),BetaTabPFN (default),xRFM (T+E),ModernNCA (T+E),XGBoost (T+E),iLTM (T+E),ExtraTrees (T+E),EBM (T+E),TabICL (default),FastaiMLP (T+E),TorchMLP (T+E),RandomForest (T+E),ChimeraBoost (T+E),TabSwift (default),KNN (T+E),TabSTAR (T+E),OrionMSP (default),Linear (T+E),PerpetualBooster (T+E),TabFlex (default)
SAP-RPT-OSS (default),0.0952381,0.13333334,0.3015873,0.21587302,0.3015873,0.31746033,0.22539683,0.34285715,0.43333337,0.5095238,0.4222222,0.36507937,0.3904762,0.4761905,0.4079365,0.56507933,0.55714285,0.552381,0.5095238,0.43968254,,0.53492063,0.5190476,0.5063492,0.47460318,0.4984127,0.56666666,0.5714286,0.71428573,0.5793651,0.66984123,0.5714286,0.48095235,0.59047616,0.59523815,0.68253964,0.6571428,0.86190474,0.82857144,0.7349206
BetaTabPFN (default),0.052380953,0.073015876,0.093650796,0.17301588,0.12222222,0.17936507,0.13968255,0.21428572,0.1952381,0.30793652,0.33650795,0.25555557,0.3206349,0.31428576,0.3333333,0.3253968,0.4793651,0.5587302,0.48095235,0.46507937,0.46507937,,0.5,0.5634921,0.5142857,0.6111111,0.552381,0.74603176,0.6206349,0.6666666,0.7777778,0.59523815,0.6746031,0.6888889,0.82380956,0.95555556,0.9142857,0.95714283,0.952381,1.0
xRFM (T+E),0.11428572,0.10476191,0.15714286,0.15714286,0.18571427,0.11111111,0.18571429,0.24761906,0.21904762,0.2857143,0.24761905,0.23492064,0.23650797,0.32698414,0.37777779,0.2936508,0.5015873,0.5428571,0.45079365,0.46666667,0.4809524,0.5,,0.50793654,0.51269835,0.50476193,0.6,0.55714285,0.6412698,0.5285714,0.6365079,0.6412698,0.73015875,0.7984127,0.92698413,0.94285715,0.9809524,0.9714286,0.9380952,0.9952381
ModernNCA (T+E),0.023809524,0.033333335,0.06666667,0.15714286,0.0952381,0.095238104,0.10000001,0.10000001,0.29523808,0.2920635,0.21111111,0.21269843,0.35714287,0.3079365,0.2825397,0.2730159,0.3984127,0.40476188,0.39047623,0.46507937,0.49365082,0.43650797,0.4920635,,0.5095238,0.44920635,0.70952386,0.57460314,0.6555556,0.5777778,0.54761904,0.7619048,0.56984127,0.6126984,0.8492064,0.87777776,0.9555555,0.92698413,0.9857143,0.9952381
XGBoost (T+E),0.025396826,0.014285714,0.06666667,0.1920635,0.1,0.10000001,0.057142857,0.082539685,0.20952381,0.2730159,0.24126984,0.08571429,0.2825397,0.284127,0.25555557,0.27777776,0.3984127,0.42698413,0.34126982,0.34761906,0.5253968,0.4857143,0.4873016,0.4904762,,0.4873016,0.54761904,0.6888889,0.6412698,0.5936508,0.6301588,0.6190476,0.62857145,0.5873016,0.8015873,0.9444445,0.96666664,0.9619048,0.9714286,0.9952381
iLTM (T+E),0.041269843,0.028571429,0.01904762,0.16825397,0.023809526,0.061904762,0.10317461,0.074603185,0.23333333,0.21269841,0.23809524,0.1825397,0.2873016,0.25555557,0.35079363,0.21111111,0.2936508,0.33174604,0.43809524,0.36825395,0.5015873,0.3888889,0.4952381,0.55079365,0.5126985,,0.62222224,0.6412698,0.5301587,0.5619048,0.5777778,0.6603174,0.61269844,0.6111111,0.8063492,0.87777776,0.8936508,0.8603174,0.9126984,1.0
ExtraTrees (T+E),0.15238096,0.14603175,0.16507937,0.15238096,0.20793651,0.17142858,0.20952381,0.20952381,0.24761906,0.22857143,0.16666666,0.24761906,0.16984127,0.3857143,0.3952381,0.25714287,0.34126982,0.3047619,0.35714287,0.45238096,0.43333334,0.44761902,0.40000004,0.29047617,0.45238093,0.37777779,,0.47142857,0.32380953,0.47142857,0.41428572,0.7412699,0.61904764,0.615873,0.9555555,0.83809525,0.93968254,0.6555556,0.92539686,0.95238096
EBM (T+E),0.046031747,0.014285715,0.033333335,0.17777778,0.071428575,0.057142857,0.10317461,0.16190477,0.18571427,0.23015873,0.23015873,0.15714286,0.22380956,0.21269841,0.15079366,0.23968254,0.31904766,0.43333334,0.3031746,0.2111111,0.42857143,0.25396827,0.44285712,0.42539686,0.31111115,0.35873017,0.5285714,,0.54761904,0.50158733,0.6333333,0.55714285,0.51428574,0.6063492,0.7571429,0.94603175,0.90952384,0.94603175,0.94285715,0.9952381
TabICL (default),0.01904762,0.10952381,0.033333335,0.01904762,0.03809524,0.071428575,0.14761904,0.15238096,0.31428573,0.028571429,0.04761905,0.26666668,0.23333333,0.30476192,0.3190476,0.2809524,0.33968255,0.35396823,0.3095238,0.41428572,0.2857143,0.37936506,0.35873017,0.34444448,0.35873017,0.46984127,0.67619044,0.45238096,,0.4285714,0.3888889,0.72380954,0.5,0.6952381,0.85238093,0.70634925,0.82857144,0.8,0.9619048,0.85714287
FastaiMLP (T+E),0.020634921,0.04761905,0.071428575,0.20476191,0.08095238,0.13492064,0.08095238,0.082539685,0.21904764,0.26190478,0.25238094,0.14444445,0.25079367,0.1904762,0.2730159,0.3126984,0.33968255,0.33492064,0.3746032,0.35873017,0.42063493,0.33333334,0.47142857,0.4222222,0.4063492,0.43809524,0.5285714,0.4984127,0.5714286,,0.42539683,0.56666666,0.53174603,0.45238096,0.6650794,0.78253967,0.7095238,0.8666667,0.77619046,0.94285715
