#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
54,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1100.0,+97/-196,0.024,49.64,40.69,16.458,7.47,1.008,✔️,0.0,False,CPU
55,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1087.0,+135/-152,0.013,50.4,42.91,15.17,12.26,0.013,✔️,0.0,False,CPU
56,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1080.0,+58/-129,0.0,50.82,48.2,16.417,195.75,0.165,✔️,0.0,False,CPU
57,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1076.0,+225/-418,0.182,51.07,15.31,23.338,52983.71,36.311,✔️,0.0,False,GPU
58,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1065.0,+224/-428,0.173,51.69,17.12,23.463,52983.71,5.585,✔️,0.0,False,GPU
59,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1063.0,+90/-131,0.019,51.8,48.82,15.195,2215.61,0.838,✔️,0.0,False,CPU
60,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1036.0,+105/-160,0.0,53.29,50.09,14.975,22.4,0.134,✔️,0.0,False,CPU
61,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+75/-139,0.0,55.22,52.65,17.458,0.63,0.12,✔️,0.0,False,CPU
62,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),952.0,+237/-480,0.084,57.58,24.77,26.2,394.68,6.52,✔️,0.0,False,GPU
63,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),948.0,+158/-331,0.0,57.75,48.03,21.623,88.43,0.512,✔️,0.0,False,CPU
64,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),940.0,+92/-178,0.0,58.14,56.41,19.754,6.97,0.818,✔️,0.0,False,CPU
65,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),909.0,+68/-147,0.0,59.5,58.52,19.744,32.6,0.021,✔️,0.0,False,CPU
66,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),848.0,+153/-326,0.0,61.9,56.19,23.914,88.43,0.051,✔️,0.0,False,CPU
67,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),842.0,+43/-122,0.0,62.12,61.62,20.624,725.45,268.761,✔️,0.0,False,GPU
68,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),768.0,+172/-428,0.0,64.48,48.5,30.791,0.42,0.047,✔️,0.0,False,CPU
69,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),610.0,+97/-386,0.0,68.08,67.69,35.056,777.82,0.312,✔️,0.0,False,CPU
70,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),600.0,+109/-435,0.0,68.26,67.84,35.099,777.82,0.108,✔️,0.0,False,CPU
71,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),450.0,+96/-404,0.0,70.33,70.28,37.04,3.91,0.126,✔️,0.0,False,CPU
