#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
22,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1614.0,+405/-75,0.179,23.0,16.93,8.228,917.62,0.422,✔️,0.0,False,CPU,model,
23,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1587.0,+315/-84,0.162,24.4,16.28,8.381,917.62,0.016,✔️,0.0,False,CPU,model,
24,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1579.0,+588/-183,0.287,24.8,19.5,7.149,2410.31,0.581,✔️,0.0,False,GPU,model,
25,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1560.0,+380/-196,0.282,25.8,4.41,8.077,174.39,0.14,✔️,0.0,False,CPU,model,
26,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1552.0,+586/-181,0.241,26.2,21.03,7.778,2410.31,0.045,✔️,0.0,False,GPU,model,
27,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1541.0,+367/-81,0.182,26.8,25.58,7.455,438.56,0.035,✔️,0.0,False,GPU,model,
28,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1514.0,+420/-230,0.156,28.2,22.9,9.025,2.73,0.01,✔️,0.0,False,CPU,model,
29,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1510.0,+439/-131,0.194,28.4,26.13,7.321,6.87,0.098,✔️,0.0,False,GPU,model,
30,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1484.0,+383/-231,0.233,29.8,11.19,8.532,0.68,0.061,✔️,0.0,False,CPU,model,
31,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1472.0,+350/-98,0.104,30.4,29.05,8.816,289.35,1.798,✔️,0.0,False,CPU,model,
32,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1461.0,+310/-124,0.101,31.0,29.27,8.882,289.35,0.36,✔️,0.0,False,CPU,model,
33,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1434.0,+407/-35,0.098,32.4,31.95,8.242,2150.19,65.934,✔️,0.0,False,GPU,model,
34,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1419.0,+677/-302,0.188,33.2,20.68,8.018,24.62,8.835,➖,0.0,False,GPU,model,
35,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1384.0,+496/-338,0.174,35.0,26.96,9.195,0.51,0.126,➖,0.0,False,GPU,model,
36,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1345.0,+236/-127,0.059,37.0,36.03,9.365,2150.19,18.752,✔️,0.0,False,GPU,model,
37,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1341.0,+448/-142,0.054,37.2,35.4,9.806,3.22,0.039,✔️,0.0,False,GPU,model,
38,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1321.0,+238/-235,0.054,38.2,34.65,9.977,0.57,0.073,✔️,0.0,False,CPU,model,
39,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1313.0,+266/-241,0.033,38.6,37.17,10.042,17.81,0.4,✔️,0.0,False,CPU,model,
40,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1277.0,+390/-114,0.018,40.4,39.73,10.158,0.66,0.213,✔️,0.0,False,CPU,model,
