#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
45,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1284.0,+121/-140,0.064,43.0,39.33,11.386,5196.37,1.749,✔️,0.0,False,CPU
46,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1274.0,+138/-164,0.06,43.62,38.44,14.37,1235.42,0.317,✔️,0.0,False,CPU
47,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1240.0,+87/-102,0.021,45.88,44.09,13.334,9.1,0.024,✔️,0.0,False,CPU
48,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1236.0,+164/-174,0.068,46.12,41.41,11.704,5196.37,0.121,✔️,0.0,False,CPU
49,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1221.0,+198/-196,0.079,47.12,34.9,14.489,2809.99,0.115,✔️,0.0,False,CPU
50,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1196.0,+204/-212,0.1,48.75,31.12,15.003,2809.99,0.013,✔️,0.0,False,CPU
51,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1181.0,+87/-175,0.011,49.62,47.02,16.355,657.99,1.134,✔️,0.0,False,CPU
52,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),1179.0,+200/-276,0.096,49.75,33.52,16.539,7.0,1.362,✔️,0.0,False,GPU
53,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1177.0,+85/-116,0.014,49.88,48.36,13.756,4.54,0.374,✔️,0.0,False,CPU
54,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1142.0,+65/-123,0.006,52.0,50.84,15.436,2151.53,7.992,✔️,0.0,False,CPU
55,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1131.0,+112/-217,0.011,52.62,48.65,17.046,7.81,0.985,✔️,0.0,False,CPU
56,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1123.0,+110/-215,0.011,53.12,50.16,17.448,657.99,0.147,✔️,0.0,False,CPU
57,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1111.0,+74/-188,0.0,53.81,52.72,17.078,208.16,0.453,✔️,0.0,False,CPU
58,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1107.0,+253/-468,0.108,54.0,29.32,24.308,96418.84,36.577,✔️,0.0,False,GPU
59,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1105.0,+91/-148,0.0,54.12,52.41,15.864,2151.53,0.566,✔️,0.0,False,CPU
60,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1093.0,+71/-210,0.0,54.81,53.82,17.791,208.16,0.135,✔️,0.0,False,CPU
61,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1092.0,+88/-124,0.0,54.88,53.77,15.016,4.08,0.255,✔️,0.0,False,CPU
62,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1059.0,+248/-432,0.086,56.62,39.07,24.484,96418.84,5.523,✔️,0.0,False,GPU
63,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1045.0,+97/-149,0.0,57.38,55.89,16.495,11.1,0.014,✔️,0.0,False,CPU
64,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1020.0,+125/-196,0.0,58.62,56.27,15.67,22.25,0.131,✔️,0.0,False,CPU
65,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+87/-200,0.0,59.62,58.69,18.86,0.69,0.125,✔️,0.0,False,CPU
66,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),968.0,+96/-229,0.0,61.12,59.82,20.309,6.77,0.511,✔️,0.0,False,CPU
67,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),898.0,+124/-302,0.0,64.0,62.44,22.358,88.79,0.571,✔️,0.0,False,CPU
68,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),898.0,+255/-483,0.041,64.0,54.76,27.524,455.0,5.747,✔️,0.0,False,GPU
69,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),885.0,+81/-194,0.0,64.5,63.82,21.025,34.18,0.02,✔️,0.0,False,CPU
70,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),839.0,+46/-195,0.0,66.12,65.8,20.975,691.28,270.094,✔️,0.0,False,GPU
71,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),755.0,+117/-300,0.0,68.62,68.13,24.318,88.79,0.052,✔️,0.0,False,CPU
72,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),698.0,+162/-419,0.0,70.0,68.98,30.565,0.43,0.047,✔️,0.0,False,CPU
73,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),568.0,+75/-498,0.0,72.44,72.22,34.982,743.23,0.364,✔️,0.0,False,CPU
74,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),543.0,+93/-513,0.0,72.81,72.6,35.064,743.23,0.097,✔️,0.0,False,CPU
75,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),401.0,+105/-472,0.0,74.5,74.48,37.174,3.98,0.12,✔️,0.0,False,CPU
