,TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),TabICLv2 (default),RealMLP (T+E),TabM (T+E),LimiX (default),TabDPT-Turbo (default),iLTM (T+E),ChimeraBoost (T+E),CatBoost (T+E),TabDPT (T+E),LightGBM (T+E),XGBoost (T+E),TabSwift (default),ModernNCA (T+E),BetaTabPFN (default),xRFM (T+E),EBM (T+E),TorchMLP (T+E),SAP-RPT-OSS (default),FastaiMLP (T+E),ExtraTrees (T+E),RandomForest (T+E),TabSTAR (T+E),OrionMSP (default),PerpetualBooster (T+E),KNN (T+E),TabFlex (default),Linear (T+E)
TabDPT (T+E),0.078947365,0.15789473,0.21052632,0.2631579,0.31578946,0.18421052,0.42105263,0.42105263,0.55263156,0.36842105,0.57894737,0.5,0.5,,0.5263158,0.5263158,0.5263158,0.47368422,0.55263156,0.57894737,0.57894737,0.65789473,0.65789473,0.65789473,0.7105263,0.7105263,0.7631579,0.94736844,0.7894737,0.8947368,0.92105263,0.8684211
LightGBM (T+E),0.078947365,0.078947365,0.13157895,0.10526316,0.18421052,0.18421052,0.28947368,0.36842105,0.36842105,0.5,0.47368422,0.4473684,0.57894737,0.47368422,,0.47368422,0.57894737,0.5263158,0.55263156,0.6315789,0.68421054,0.7368421,0.65789473,0.7631579,0.81578946,0.81578946,0.81578946,0.84210527,0.8684211,0.92105263,0.8684211,0.9736842
XGBoost (T+E),0.10526316,0.02631579,0.15789473,0.23684211,0.15789473,0.23684211,0.28947368,0.4473684,0.34210527,0.42105263,0.47368422,0.42105263,0.47368422,0.47368422,0.5263158,,0.5263158,0.5,0.47368422,0.55263156,0.6315789,0.68421054,0.6315789,0.7105263,0.81578946,0.84210527,0.84210527,0.84210527,0.7894737,0.8684211,0.84210527,0.92105263
TabSwift (default),0.13157895,0.10526316,0.13157895,0.21052632,0.18421052,0.18421052,0.36842105,0.36842105,0.47368422,0.32894737,0.42105263,0.4473684,0.4473684,0.47368422,0.42105263,0.47368422,,0.5,0.5263158,0.6052632,0.57894737,0.5,0.65789473,0.7631579,0.65789473,0.6315789,0.7631579,0.8947368,0.7894737,0.8684211,0.9736842,0.84210527
ModernNCA (T+E),0.13157895,0.05263158,0.078947365,0.10526316,0.23684211,0.15789473,0.31578946,0.39473686,0.39473686,0.5,0.47368422,0.42105263,0.42105263,0.5263158,0.47368422,0.5,0.5,,0.57894737,0.55263156,0.6052632,0.6052632,0.57894737,0.7368421,0.7368421,0.7368421,0.7368421,0.81578946,0.81578946,0.8552632,0.81578946,0.81578946
BetaTabPFN (default),0.05263158,0.02631579,0.078947365,0.15789473,0.13157895,0.10526316,0.28947368,0.31578946,0.39473686,0.47368422,0.5,0.42105263,0.47368422,0.4473684,0.4473684,0.5263158,0.47368422,0.42105263,,0.5263158,0.55263156,0.57894737,0.6052632,0.6315789,0.65789473,0.68421054,0.7631579,0.7894737,0.81578946,0.8947368,0.8947368,0.8947368
xRFM (T+E),0.078947365,0.05263158,0.15789473,0.15789473,0.18421052,0.21052632,0.28947368,0.42105263,0.36842105,0.39473686,0.34210527,0.39473686,0.36842105,0.42105263,0.36842105,0.4473684,0.39473686,0.4473684,0.47368422,,0.5,0.5263158,0.55263156,0.65789473,0.68421054,0.7368421,0.7368421,0.8684211,0.7631579,0.92105263,0.8947368,0.94736844
EBM (T+E),0.078947365,0.05263158,0.18421052,0.13157895,0.15789473,0.23684211,0.21052632,0.21052632,0.31578946,0.39473686,0.36842105,0.28947368,0.39473686,0.42105263,0.31578946,0.36842105,0.42105263,0.39473686,0.4473684,0.5,,0.57894737,0.65789473,0.7105263,0.7368421,0.7105263,0.7894737,0.7631579,0.7631579,0.8947368,0.92105263,0.94736844
TorchMLP (T+E),0.05263158,0.02631579,0.13157895,0.10526316,0.18421052,0.13157895,0.18421052,0.28947368,0.31578946,0.34210527,0.2631579,0.31578946,0.28947368,0.34210527,0.2631579,0.31578946,0.5,0.39473686,0.42105263,0.47368422,0.42105263,,0.5,0.6052632,0.65789473,0.7105263,0.7368421,0.7631579,0.7631579,0.8684211,0.92105263,0.8947368
SAP-RPT-OSS (default),0.10526316,0.078947365,0.21052632,0.18421052,0.13157895,0.23684211,0.21052632,0.28947368,0.34210527,0.34210527,0.28947368,0.31578946,0.2631579,0.34210527,0.34210527,0.36842105,0.34210527,0.42105263,0.39473686,0.4473684,0.34210527,0.5,,0.6052632,0.6052632,0.55263156,0.65789473,0.68421054,0.7894737,0.7894737,0.8684211,0.8684211
FastaiMLP (T+E),0.10526316,0.078947365,0.13157895,0.10526316,0.15789473,0.05263158,0.10526316,0.21052632,0.34210527,0.28947368,0.18421052,0.31578946,0.2631579,0.34210527,0.23684211,0.28947368,0.23684211,0.2631579,0.36842105,0.34210527,0.28947368,0.39473686,0.39473686,,0.57894737,0.55263156,0.6315789,0.68421054,0.7368421,0.81578946,0.8684211,0.81578946
ExtraTrees (T+E),0.05263158,0.05263158,0.05263158,0.078947365,0.05263158,0.13157895,0.18421052,0.28947368,0.2631579,0.23684211,0.18421052,0.2631579,0.18421052,0.28947368,0.18421052,0.18421052,0.34210527,0.2631579,0.34210527,0.31578946,0.2631579,0.34210527,0.39473686,0.42105263,,0.57894737,0.68421054,0.7368421,0.65789473,0.8947368,0.81578946,0.7631579
RandomForest (T+E),0.05263158,0.02631579,0.078947365,0.05263158,0.078947365,0.10526316,0.21052632,0.21052632,0.2631579,0.23684211,0.13157895,0.21052632,0.15789473,0.28947368,0.18421052,0.15789473,0.36842105,0.2631579,0.31578946,0.2631579,0.28947368,0.28947368,0.4473684,0.4473684,0.42105263,,0.68421054,0.6315789,0.6052632,0.7894737,0.7105263,0.7368421
TabSTAR (T+E),0.10526316,0.10526316,0.13157895,0.15789473,0.15789473,0.13157895,0.18421052,0.13157895,0.2631579,0.23684211,0.23684211,0.21052632,0.18421052,0.23684211,0.18421052,0.15789473,0.23684211,0.2631579,0.23684211,0.2631579,0.21052632,0.2631579,0.34210527,0.36842105,0.31578946,0.31578946,,0.5263158,0.6315789,0.6052632,0.65789473,0.65789473
OrionMSP (default),0.02631579,0.02631579,0.0,0.02631579,0.02631579,0.078947365,0.05263158,0.13157895,0.17105263,0.078947365,0.15789473,0.13157895,0.21052632,0.05263158,0.15789473,0.15789473,0.10526316,0.18421052,0.21052632,0.13157895,0.23684211,0.23684211,0.31578946,0.31578946,0.2631579,0.36842105,0.47368422,,0.55263156,0.6052632,0.7105263,0.68421054
PerpetualBooster (T+E),0.0,0.0,0.02631579,0.02631579,0.05263158,0.05263158,0.05263158,0.15789473,0.18421052,0.18421052,0.10526316,0.21052632,0.10526316,0.21052632,0.13157895,0.21052632,0.21052632,0.18421052,0.18421052,0.23684211,0.23684211,0.23684211,0.21052632,0.2631579,0.34210527,0.39473686,0.36842105,0.4473684,,0.55263156,0.6052632,0.65789473
KNN (T+E),0.078947365,0.02631579,0.05263158,0.02631579,0.078947365,0.05263158,0.05263158,0.13157895,0.13157895,0.078947365,0.05263158,0.15789473,0.13157895,0.10526316,0.078947365,0.13157895,0.13157895,0.14473684,0.10526316,0.078947365,0.10526316,0.13157895,0.21052632,0.18421052,0.10526316,0.21052632,0.39473686,0.39473686,0.4473684,,0.55263156,0.6052632
TabFlex (default),0.0,0.05263158,0.05263158,0.078947365,0.10526316,0.02631579,0.10526316,0.078947365,0.15789473,0.05263158,0.078947365,0.10526316,0.15789473,0.078947365,0.13157895,0.15789473,0.02631579,0.18421052,0.10526316,0.10526316,0.078947365,0.078947365,0.13157895,0.13157895,0.18421052,0.28947368,0.34210527,0.28947368,0.39473686,0.4473684,,0.55263156
Linear (T+E),0.02631579,0.02631579,0.05263158,0.02631579,0.078947365,0.05263158,0.02631579,0.05263158,0.10526316,0.15789473,0.078947365,0.05263158,0.02631579,0.13157895,0.02631579,0.078947365,0.15789473,0.18421052,0.10526316,0.05263158,0.05263158,0.10526316,0.13157895,0.18421052,0.23684211,0.2631579,0.34210527,0.31578946,0.34210527,0.39473686,0.4473684,
