prompt_id,filename,class_id,class_name,class_name_fa,rows,duodit_wins,lightningdit_wins,ties,decisive_rows,duodit_win_rate_decisive_pct,duodit_share_all_pct,lightningdit_share_all_pct,tie_share_all_pct,duodit_wilson95_low,duodit_wilson95_high,binomial_p_value_vs_50_50,option_a_selected,option_b_selected,about_same_selected,duodit_shown_left,duodit_shown_right
class_0244_001244,class_0244/001244-class0244.png,244,Tibetan mastiff,ماستیف تبتی,14,7,1,6,8,87.5,50.0,7.14,42.86,0.5291,0.9776,0.070313,5,3,6,8,6
class_0244_002244,class_0244/002244-class0244.png,244,Tibetan mastiff,ماستیف تبتی,14,0,10,4,10,0.0,0.0,71.43,28.57,0.0,0.2775,0.001953,7,3,4,6,8
class_0245_000245,class_0245/000245-class0245.png,245,French bulldog,بولداگ فرانسوی,14,9,3,2,12,75.0,64.29,21.43,14.29,0.4677,0.9111,0.145996,10,2,2,7,7
class_0245_001245,class_0245/001245-class0245.png,245,French bulldog,بولداگ فرانسوی,14,9,1,4,10,90.0,64.29,7.14,28.57,0.5958,0.9821,0.021484,4,6,4,5,9
class_0245_002245,class_0245/002245-class0245.png,245,French bulldog,بولداگ فرانسوی,14,11,2,1,13,84.62,78.57,14.29,7.14,0.5776,0.9567,0.022461,6,7,1,5,9
class_0249_000249,class_0249/000249-class0249.png,249,malamute,مالاموت,14,1,10,3,11,9.09,7.14,71.43,21.43,0.0162,0.3774,0.011719,8,3,3,2,12
class_0249_001249,class_0249/001249-class0249.png,249,malamute,مالاموت,14,0,12,2,12,0.0,0.0,85.71,14.29,0.0,0.2425,0.000488,6,6,2,8,6
class_0249_002249,class_0249/002249-class0249.png,249,malamute,مالاموت,14,0,10,4,10,0.0,0.0,71.43,28.57,0.0,0.2775,0.001953,7,3,4,5,9
class_0251_000251,class_0251/000251-class0251.png,251,dalmatian,دالمیشن,14,0,11,3,11,0.0,0.0,78.57,21.43,0.0,0.2588,0.000977,8,3,3,4,10
class_0251_001251,class_0251/001251-class0251.png,251,dalmatian,دالمیشن,14,0,10,4,10,0.0,0.0,71.43,28.57,0.0,0.2775,0.001953,5,5,4,7,7
class_0251_002251,class_0251/002251-class0251.png,251,dalmatian,دالمیشن,14,9,0,5,9,100.0,64.29,0.0,35.71,0.7008,1.0,0.003906,6,3,5,9,5
class_0256_000256,class_0256/000256-class0256.png,256,Newfoundland,نیوفاندلند,14,6,5,3,11,54.55,42.86,35.71,21.43,0.2801,0.7873,1.0,8,3,3,4,10
class_0256_001256,class_0256/001256-class0256.png,256,Newfoundland,نیوفاندلند,14,1,13,0,14,7.14,7.14,92.86,0.0,0.0127,0.3147,0.001831,9,5,0,6,8
class_0256_002256,class_0256/002256-class0256.png,256,Newfoundland,نیوفاندلند,14,4,4,6,8,50.0,28.57,28.57,42.86,0.2152,0.7848,1.0,6,2,6,9,5
class_0266_000266,class_0266/000266-class0266.png,266,miniature poodle,پودل مینیاتوری,14,0,11,3,11,0.0,0.0,78.57,21.43,0.0,0.2588,0.000977,8,3,3,3,11
class_0266_001266,class_0266/001266-class0266.png,266,miniature poodle,پودل مینیاتوری,14,4,2,8,6,66.67,28.57,14.29,57.14,0.3,0.9032,0.6875,6,0,8,7,7
class_0266_002266,class_0266/002266-class0266.png,266,miniature poodle,پودل مینیاتوری,14,0,14,0,14,0.0,0.0,100.0,0.0,0.0,0.2153,0.000122,7,7,0,7,7
class_0270_000270,class_0270/000270-class0270.png,270,white wolf,گرگ سفید,14,5,5,4,10,50.0,35.71,35.71,28.57,0.2366,0.7634,1.0,6,4,4,7,7
class_0270_001270,class_0270/001270-class0270.png,270,white wolf,گرگ سفید,14,1,11,2,12,8.33,7.14,78.57,14.29,0.0149,0.3539,0.006348,7,5,2,7,7
class_0270_002270,class_0270/002270-class0270.png,270,white wolf,گرگ سفید,14,2,8,4,10,20.0,14.29,57.14,28.57,0.0567,0.5098,0.109375,4,6,4,9,5
class_0275_000275,class_0275/000275-class0275.png,275,African hunting dog,سگ شکارچی آفریقایی,14,1,8,5,9,11.11,7.14,57.14,35.71,0.0199,0.435,0.039062,5,4,5,5,9
class_0275_001275,class_0275/001275-class0275.png,275,African hunting dog,سگ شکارچی آفریقایی,14,4,2,8,6,66.67,28.57,14.29,57.14,0.3,0.9032,0.6875,5,1,8,8,6
class_0275_002275,class_0275/002275-class0275.png,275,African hunting dog,سگ شکارچی آفریقایی,14,5,2,7,7,71.43,35.71,14.29,50.0,0.3589,0.9178,0.453125,2,5,7,7,7
class_0279_000279,class_0279/000279-class0279.png,279,Arctic fox,روباه قطبی,14,8,1,5,9,88.89,57.14,7.14,35.71,0.565,0.9801,0.039062,4,5,5,7,7
class_0279_001279,class_0279/001279-class0279.png,279,Arctic fox,روباه قطبی,14,13,1,0,14,92.86,92.86,7.14,0.0,0.6853,0.9873,0.001831,11,3,0,12,2
class_0279_002279,class_0279/002279-class0279.png,279,Arctic fox,روباه قطبی,14,0,14,0,14,0.0,0.0,100.0,0.0,0.0,0.2153,0.000122,8,6,0,6,8
class_0291_000291,class_0291/000291-class0291.png,291,lion,شیر,14,11,1,2,12,91.67,78.57,7.14,14.29,0.6461,0.9851,0.006348,9,3,2,12,2
class_0291_001291,class_0291/001291-class0291.png,291,lion,شیر,14,1,6,7,7,14.29,7.14,42.86,50.0,0.0257,0.5131,0.125,3,4,7,9,5
class_0291_002291,class_0291/002291-class0291.png,291,lion,شیر,14,1,11,2,12,8.33,7.14,78.57,14.29,0.0149,0.3539,0.006348,8,4,2,3,11
class_0299_000299,class_0299/000299-class0299.png,299,meerkat,میرکت,14,7,3,4,10,70.0,50.0,21.43,28.57,0.3968,0.8922,0.34375,8,2,4,9,5
class_0299_001299,class_0299/001299-class0299.png,299,meerkat,میرکت,14,3,6,5,9,33.33,21.43,42.86,35.71,0.1206,0.6458,0.507812,5,4,5,8,6
class_0299_002299,class_0299/002299-class0299.png,299,meerkat,میرکت,14,5,6,3,11,45.45,35.71,42.86,21.43,0.2127,0.7199,1.0,6,5,3,10,4
class_0301_000301,class_0301/000301-class0301.png,301,ladybug,کفشدوزک,14,6,4,4,10,60.0,42.86,28.57,28.57,0.3127,0.8318,0.753906,4,6,4,4,10
class_0301_001301,class_0301/001301-class0301.png,301,ladybug,کفشدوزک,14,3,8,3,11,27.27,21.43,57.14,21.43,0.0975,0.5657,0.226563,7,4,3,4,10
class_0301_002301,class_0301/002301-class0301.png,301,ladybug,کفشدوزک,14,1,9,4,10,10.0,7.14,64.29,28.57,0.0179,0.4042,0.021484,7,3,4,5,9
class_0306_000306,class_0306/000306-class0306.png,306,rhinoceros beetle,سوسک کرگدنی,14,4,4,6,8,50.0,28.57,28.57,42.86,0.2152,0.7848,1.0,6,2,6,10,4
class_0306_001306,class_0306/001306-class0306.png,306,rhinoceros beetle,سوسک کرگدنی,14,2,8,4,10,20.0,14.29,57.14,28.57,0.0567,0.5098,0.109375,3,7,4,10,4
class_0306_002306,class_0306/002306-class0306.png,306,rhinoceros beetle,سوسک کرگدنی,14,10,1,3,11,90.91,71.43,7.14,21.43,0.6226,0.9838,0.011719,8,3,3,9,5
class_0310_000310,class_0310/000310-class0310.png,310,ant,مورچه,14,7,4,3,11,63.64,50.0,28.57,21.43,0.3538,0.8483,0.548828,7,4,3,7,7
class_0310_001310,class_0310/001310-class0310.png,310,ant,مورچه,14,2,7,5,9,22.22,14.29,50.0,35.71,0.0632,0.5474,0.179687,6,3,5,4,10
