ucod,nombre,cod_depto,fis,clima,pend,cons_amb,inund,cn,rodadura
R4_SC09B_35,Puerto Suarez - Arroyo Concepción (Front. Brasil),SC,4.3,3.3,2,3.8,2,2.2,1
R4_SC10_36,Puerto Suarez - Puerto Busch,SC,4.7,2.9,2,2,4.3,1.2,4
R5_PT05_01,Uyuni - Hito Lx,PT,3.7,1.3,2.1,2.2,1.1,3.5,4
R5_PT03_02,Potosi - Uyuni,PT,3.7,4,2.3,3.3,1.7,3.5,1
R5_PT01_03,Potosi - Viña Pampa,PT,4.2,4,2.4,4.1,2,2.7,1
R5_CH02_04,Viña Pampa - Sucre,CH,4.5,4,2.4,4.2,2.1,3,1
R5_CH01_05,Sucre - Sacramento,CH,4.5,4,2.7,4,3,3,1
R5_CH01_06,Sacramento - Puente Arce,CH,4.5,4,2.9,3.9,3,3.1,1
R5_CO02_07,Puente Arce - Entrada Sur Aiquile,CO,4.2,3.6,2.6,3.8,3,3,1
R5_CO02_08,Entrada Sur Aiquile - Cruce Aiquile,CO,4.1,4,2,4.7,3,3,1
R5_CO03_09,Entrada Sur Aiquile - Entrada Norte Aiquile,CO,4.4,4,2.1,3.5,3,3,1
R5_CO03_10,Entrada Norte Aiquile - Miraflores,CO,4.3,4,2,3.9,3,3,1
R5_CO03_11,Miraflores - Peña Colorada,CO,4.2,4,2.2,3.8,3,3,1
R5_CO03_12,Peña Colorada - Pte. Taperas,CO,4.1,4,2.6,3.9,3,3,1
R5_CO03_13,Pte. Taperas - La Palizada,CO,4.1,4,2.6,4,3,2.9,1
R6_OR07_01,Machacamarquita - Huanuni,OR,4.9,4,2.3,3.9,1.1,3,1
R6_OR07_02,Huanuni - Llallagua,OR,4.3,4,2.3,3.9,2,3.4,1
R6_OR03_03,Llallagua - Chakapuco,OR,4.1,4,2.5,4.1,3.1,2.6,1
R6_OR03_04,Chakapuco - Llucho,OR,3.6,4,2.4,4.1,3,3,1
R6_OR03_05,Llucho - Ravelo,OR,4.1,4,2.4,4.2,2.2,3,1
R6_CH02_06,Ravelo - Sucre,CH,4.3,4,2.3,4,2.5,3,1
R6_CH01_07,Sucre - Tarabuco,CH,4.6,4,2.3,3.9,3,3.1,1
R6_CH01_08,Tarabuco - Zudañez,CH,4.2,4,2.3,4.1,2.9,3,1
R6_CH03_09,Zudañez - Padilla,CH,4.2,4,2.3,4.1,3,3,1
R6_CH03_10,Padilla - El Salto,CH,4.6,4,2.7,4.4,3,2.9,1
R6_CH03_11,El Salto - Monteagudo,CH,4.5,3.6,2.6,4.3,3,3.1,4
R6_CH04_12,Monteagudo - Muyupampa,CH,3.4,3.9,2.1,4.1,3,3.5,1
R6_CH04_13,Muyupampa - Ipati,CH,4.2,4,2.2,4.1,3,3.9,3
R6_SC03_14,Ipati - Camiri,SC,4.1,4,2.2,4.1,3.1,3.5,1
R6_SC03_15,Camiri - Boyuibe,SC,3.7,4,2.1,3.7,2.8,4.1,1
