#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
20,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1473.0,+146/-89,0.306,26.12,17.04,6.073,3.53,0.064,➖,0.0,False,GPU
21,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1454.0,+110/-75,0.224,27.42,23.25,8.6,1203.24,7.106,✔️,0.0,False,CPU
22,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1450.0,+128/-66,0.207,27.7,22.45,7.927,4283.1,0.063,✔️,0.0,False,CPU
23,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1446.0,+166/-98,0.276,27.94,20.34,6.597,3660.26,4.755,✔️,0.0,False,GPU
24,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1444.0,+183/-107,0.278,28.11,7.68,8.978,8982.74,8.012,✔️,0.0,False,GPU
25,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1430.0,+128/-104,0.217,29.12,18.8,8.069,2039.7,2.142,✔️,0.0,False,GPU
26,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1411.0,+84/-42,0.158,30.45,27.08,8.905,1266.57,3.147,✔️,0.0,False,CPU
27,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [12.50% IMPUTED],1400.0,+150/-113,0.245,31.19,16.41,8.25,93.39,2.396,✔️,12.5,True,GPU
28,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1384.0,+82/-47,0.134,32.37,28.65,9.066,1266.57,0.475,✔️,0.0,False,CPU
29,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1377.0,+88/-79,0.147,32.89,27.86,9.354,1203.24,0.956,✔️,0.0,False,CPU
30,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1361.0,+168/-107,0.176,34.09,23.14,7.609,3660.26,0.492,✔️,0.0,False,GPU
31,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1358.0,+137/-159,0.207,34.27,16.67,10.039,22.46,1.038,➖,0.0,False,GPU
32,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1357.0,+123/-85,0.105,34.36,27.07,9.918,13.63,0.049,✔️,0.0,False,CPU
33,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1357.0,+129/-82,0.163,34.38,28.29,8.564,2039.7,0.109,✔️,0.0,False,GPU
34,🧠⚡,Foundation Model,[TabPFNv2 (tuned)](https://www.nature.com/articles/s41586-024-08328-6) [12.50% IMPUTED],1356.0,+267/-182,0.245,34.41,18.44,7.313,6559.81,0.485,✔️,12.5,True,GPU
35,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1344.0,+102/-70,0.123,35.35,29.12,9.259,39519.07,167.037,✔️,0.0,False,GPU
36,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1334.0,+128/-92,0.101,36.08,28.45,10.37,1846.43,0.349,✔️,0.0,False,CPU
37,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1314.0,+163/-101,0.13,37.52,21.65,11.057,8982.74,0.421,✔️,0.0,False,GPU
38,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1299.0,+126/-88,0.075,38.65,30.85,10.711,1846.43,0.029,✔️,0.0,False,CPU
39,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1298.0,+157/-136,0.147,38.77,29.61,8.886,13.53,0.467,✔️,0.0,False,GPU
40,🧠⚡,Foundation Model,[TabPFNv2 (default)](https://www.nature.com/articles/s41586-024-08328-6) [12.50% IMPUTED],1280.0,+222/-225,0.196,40.07,27.1,9.537,8.74,0.773,✔️,12.5,True,GPU
41,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1271.0,+134/-103,0.12,40.76,33.97,9.688,21.52,8.35,✔️,0.0,False,GPU
42,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1261.0,+116/-158,0.13,41.54,30.0,13.405,1163.69,2.098,✔️,0.0,False,CPU
43,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1244.0,+143/-162,0.114,42.77,27.13,11.33,5151.88,1.591,✔️,0.0,False,CPU
44,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1241.0,+110/-159,0.113,43.0,28.59,13.65,1163.69,0.288,✔️,0.0,False,CPU
45,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1238.0,+209/-206,0.11,43.17,16.15,11.346,121.77,21.803,➖,0.0,False,GPU
46,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1234.0,+96/-84,0.022,43.51,39.83,11.663,8.29,0.037,✔️,0.0,False,CPU
