,"AutoGluon 1.6 (noncommercial, 4h)",TabFM+,"AutoGluon 1.6 (extreme, 4h)",TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),"AutoGluon 1.5 (extreme, 4h)",Nori-30M (default),TabDPT (T+E),RealTabPFN-2.5 (T+E),TabICLv2 (default),TabPFN-2.6 (default),Nori (default),RealMLP (T+E),TabDPT-Turbo (default),"AutoGluon 1.4 (best, 4h)",ModernNCA (T+E),CatBoost (T+E),xRFM (T+E),LightGBM (T+E),TabM (T+E),iLTM (T+E),TabSwift (default),ChimeraBoost (T+E),XGBoost (T+E),SAP-RPT-OSS (default),LimiX (default),TorchMLP (T+E),ExtraTrees (T+E),EBM (T+E),PerpetualBooster (T+E),RandomForest (T+E),TabSTAR (T+E),FastaiMLP (T+E),KNN (T+E),Linear (T+E)
XGBoost (T+E),0.007692308,0.017948719,0.007692308,0.020512821,0.020512821,0.12393163,0.04358975,0.08888889,0.13589743,0.0974359,0.17435898,0.059829064,0.13675214,0.11880342,0.22478631,0.10341881,0.26324788,0.22905985,0.37863252,0.2025641,0.34444442,0.36324787,0.49572653,0.53675216,,0.6299145,0.6675214,0.7290598,0.77179486,0.8760684,0.92051286,0.90427345,0.8692308,0.9393162,0.9589744,1.0
SAP-RPT-OSS (default),0.041025642,0.043589745,0.043589745,0.03846154,0.046153847,0.071794875,0.13931625,0.07948719,0.115384616,0.12905982,0.051282052,0.08717949,0.14102563,0.11794872,0.17094018,0.21452993,0.2897436,0.28547007,0.3025641,0.36153847,0.2940171,0.3017094,0.3128205,0.42051283,0.3700855,,0.46239316,0.4726496,0.48205125,0.6880342,0.58974355,0.5606838,0.79999995,0.8076923,0.8760684,0.9974359
LimiX (default),0.012820513,0.01965812,0.012820513,0.01965812,0.023931624,0.08290599,0.18717949,0.15555556,0.16239317,0.102564104,0.092307694,0.07521368,0.13760684,0.11452992,0.19999999,0.21880342,0.23162395,0.2940171,0.21538462,0.33760688,0.33504274,0.3,0.36666667,0.4179487,0.33247864,0.53760684,,0.53589743,0.42136753,0.6529914,0.53931624,0.53504276,0.84615386,0.7786325,0.8709402,0.96153843
TorchMLP (T+E),0.0,0.0,0.017094018,0.017094018,0.008547009,0.033333335,0.007692308,0.053846158,0.04786325,0.024786325,0.15641025,0.070940174,0.062393166,0.0957265,0.0871795,0.062393162,0.14358974,0.22820513,0.18205127,0.26581198,0.21025641,0.13504276,0.24957265,0.2923077,0.27094018,0.5273504,0.46410257,,0.625641,0.608547,0.41965815,0.6940171,0.8487179,0.8452992,0.8666667,0.9589744
ExtraTrees (T+E),0.017948719,0.01880342,0.020512821,0.021367522,0.025641026,0.03675214,0.035897437,0.02905983,0.028205128,0.12051281,0.105982915,0.041880343,0.028205128,0.05726496,0.051282052,0.0982906,0.1769231,0.17863248,0.17435898,0.15897435,0.2051282,0.16410257,0.29914528,0.26410255,0.22820513,0.51794875,0.5786325,0.37435898,,0.5897436,0.5504274,0.75299144,0.82307696,0.6923077,0.9846154,1.0
EBM (T+E),0.0076923077,0.012820513,0.0076923077,0.015384615,0.010256411,0.11025642,0.020512821,0.024786325,0.0940171,0.025641026,0.12905982,0.015384615,0.08717949,0.083760686,0.17179488,0.084615394,0.16410255,0.092307694,0.18717949,0.10769231,0.22820513,0.21965812,0.2128205,0.11794872,0.12393163,0.3119658,0.34700856,0.39145306,0.41025642,,0.45726496,0.45641026,0.7982906,0.5974359,0.74700856,0.99230766
PerpetualBooster (T+E),0.0025641026,0.0025641026,0.0025641026,0.0051282053,0.0,0.08205128,0.0051282053,0.013675214,0.016239317,0.007692308,0.12222222,0.0025641026,0.082051285,0.012820513,0.1025641,0.017948719,0.07435898,0.026495727,0.13247864,0.015384615,0.14871794,0.1811966,0.27179486,0.05042735,0.079487175,0.41025642,0.46068376,0.5803419,0.44957262,0.54273504,,0.5435897,0.7692308,0.76324785,0.8008547,0.9897436
RandomForest (T+E),0.0051282053,0.0,0.0025641026,0.0025641026,0.0076923077,0.012820513,0.017948719,0.016239317,0.010256411,0.06153846,0.11965812,0.0051282053,0.0051282053,0.010256411,0.033333335,0.048717953,0.082051285,0.052136753,0.092307694,0.07350428,0.22564103,0.04786325,0.23076923,0.17692307,0.0957265,0.43931624,0.46495724,0.3059829,0.24700855,0.5435897,0.45641026,,0.7923076,0.6564102,0.9564103,1.0
TabSTAR (T+E),0.051282052,0.046153847,0.051282052,0.043589745,0.053846158,0.079487175,0.05897436,0.048717953,0.0974359,0.07692308,0.07435898,0.056410257,0.056410257,0.10512821,0.12307692,0.115384616,0.13333334,0.115384616,0.13333334,0.12820512,0.12564102,0.13247864,0.12564103,0.12564103,0.13076924,0.20000002,0.15384616,0.15128206,0.1769231,0.20170942,0.23076923,0.20769231,,0.2846154,0.52478635,0.8487179
FastaiMLP (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0025641026,0.0025641026,0.0,0.0,0.07692308,0.034188036,0.025641026,0.0,0.016239317,0.0025641026,0.041025642,0.089743584,0.10512821,0.027350428,0.03931624,0.022222223,0.03846154,0.12649573,0.060683765,0.19230768,0.22136754,0.15470085,0.30769232,0.4025641,0.23675214,0.34358975,0.7153846,,0.6333333,0.98717946
KNN (T+E),0.0076923077,0.0076923077,0.0076923077,0.0076923077,0.015384615,0.017948719,0.012820513,0.010256411,0.010256411,0.017948719,0.010256411,0.0076923077,0.012820513,0.017948719,0.017948719,0.035897437,0.025641026,0.03076923,0.017948719,0.043589745,0.057264958,0.035042737,0.026495727,0.10000001,0.041025642,0.12393163,0.12905984,0.13333334,0.015384615,0.25299147,0.1991453,0.04358975,0.47521368,0.36666664,,0.93076926
Linear (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025641026,0.0,0.0025641026,0.0,0.0,0.017094018,0.0,0.0,0.0,0.0025641026,0.03846154,0.041025642,0.0,0.007692308,0.010256411,0.0,0.15128206,0.012820513,0.069230765,
