synset,class_index,class_dir,copy_order,source_path,target_path
n01981276,121,class_0121,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0121/000121-class0121.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0121/000121-class0121.png
n01981276,121,class_0121,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0121/001121-class0121.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0121/001121-class0121.png
n01981276,121,class_0121,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0121/002121-class0121.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0121/002121-class0121.png
n02074367,149,class_0149,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0149/000149-class0149.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0149/000149-class0149.png
n02074367,149,class_0149,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0149/001149-class0149.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0149/001149-class0149.png
n02074367,149,class_0149,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0149/002149-class0149.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0149/002149-class0149.png
n02089867,166,class_0166,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0166/000166-class0166.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0166/000166-class0166.png
n02089867,166,class_0166,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0166/001166-class0166.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0166/001166-class0166.png
n02089867,166,class_0166,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0166/002166-class0166.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0166/002166-class0166.png
n02091244,173,class_0173,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0173/000173-class0173.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0173/000173-class0173.png
n02091244,173,class_0173,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0173/001173-class0173.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0173/001173-class0173.png
n02091244,173,class_0173,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0173/002173-class0173.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0173/002173-class0173.png
n02091831,176,class_0176,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0176/000176-class0176.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0176/000176-class0176.png
n02091831,176,class_0176,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0176/001176-class0176.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0176/001176-class0176.png
n02091831,176,class_0176,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0176/002176-class0176.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0176/002176-class0176.png
n02099601,207,class_0207,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0207/000207-class0207.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0207/000207-class0207.png
n02099601,207,class_0207,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0207/001207-class0207.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0207/001207-class0207.png
n02099601,207,class_0207,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0207/002207-class0207.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0207/002207-class0207.png
n02101006,214,class_0214,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0214/000214-class0214.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0214/000214-class0214.png
n02101006,214,class_0214,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0214/001214-class0214.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0214/001214-class0214.png
n02101006,214,class_0214,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0214/002214-class0214.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0214/002214-class0214.png
n02105505,228,class_0228,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0228/000228-class0228.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0228/000228-class0228.png
n02105505,228,class_0228,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0228/001228-class0228.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0228/001228-class0228.png
n02105505,228,class_0228,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0228/002228-class0228.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0228/002228-class0228.png
n02108089,242,class_0242,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0242/000242-class0242.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0242/000242-class0242.png
n02108089,242,class_0242,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0242/001242-class0242.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0242/001242-class0242.png
n02108089,242,class_0242,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0242/002242-class0242.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0242/002242-class0242.png
n02108551,244,class_0244,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0244/000244-class0244.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0244/000244-class0244.png
n02108551,244,class_0244,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0244/001244-class0244.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0244/001244-class0244.png
n02108551,244,class_0244,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0244/002244-class0244.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0244/002244-class0244.png
n02108915,245,class_0245,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0245/000245-class0245.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0245/000245-class0245.png
n02108915,245,class_0245,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0245/001245-class0245.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0245/001245-class0245.png
n02108915,245,class_0245,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0245/002245-class0245.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0245/002245-class0245.png
n02110063,249,class_0249,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0249/000249-class0249.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0249/000249-class0249.png
n02110063,249,class_0249,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0249/001249-class0249.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0249/001249-class0249.png
n02110063,249,class_0249,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0249/002249-class0249.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0249/002249-class0249.png
n02110341,251,class_0251,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0251/000251-class0251.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0251/000251-class0251.png
n02110341,251,class_0251,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0251/001251-class0251.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0251/001251-class0251.png
n02110341,251,class_0251,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0251/002251-class0251.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0251/002251-class0251.png
n02111277,256,class_0256,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0256/000256-class0256.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0256/000256-class0256.png
n02111277,256,class_0256,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0256/001256-class0256.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0256/001256-class0256.png
n02111277,256,class_0256,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0256/002256-class0256.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0256/002256-class0256.png
n02113712,266,class_0266,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0266/000266-class0266.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0266/000266-class0266.png
n02113712,266,class_0266,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0266/001266-class0266.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0266/001266-class0266.png
n02113712,266,class_0266,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0266/002266-class0266.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0266/002266-class0266.png
n02114548,270,class_0270,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0270/000270-class0270.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0270/000270-class0270.png
n02114548,270,class_0270,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0270/001270-class0270.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0270/001270-class0270.png
n02114548,270,class_0270,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0270/002270-class0270.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0270/002270-class0270.png
n02116738,275,class_0275,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0275/000275-class0275.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0275/000275-class0275.png
n02116738,275,class_0275,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0275/001275-class0275.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0275/001275-class0275.png
n02116738,275,class_0275,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0275/002275-class0275.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0275/002275-class0275.png
n02120079,279,class_0279,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0279/000279-class0279.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0279/000279-class0279.png
n02120079,279,class_0279,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0279/001279-class0279.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0279/001279-class0279.png
n02120079,279,class_0279,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0279/002279-class0279.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0279/002279-class0279.png
n02129165,291,class_0291,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0291/000291-class0291.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0291/000291-class0291.png
n02129165,291,class_0291,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0291/001291-class0291.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0291/001291-class0291.png
n02129165,291,class_0291,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0291/002291-class0291.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0291/002291-class0291.png
n02138441,299,class_0299,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0299/000299-class0299.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0299/000299-class0299.png
n02138441,299,class_0299,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0299/001299-class0299.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0299/001299-class0299.png
n02138441,299,class_0299,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0299/002299-class0299.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0299/002299-class0299.png
n02165456,301,class_0301,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0301/000301-class0301.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0301/000301-class0301.png
n02165456,301,class_0301,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0301/001301-class0301.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0301/001301-class0301.png
n02165456,301,class_0301,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0301/002301-class0301.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0301/002301-class0301.png
n02174001,306,class_0306,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0306/000306-class0306.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0306/000306-class0306.png
n02174001,306,class_0306,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0306/001306-class0306.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0306/001306-class0306.png
n02174001,306,class_0306,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0306/002306-class0306.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0306/002306-class0306.png
n02219486,310,class_0310,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0310/000310-class0310.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0310/000310-class0310.png
n02219486,310,class_0310,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0310/001310-class0310.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0310/001310-class0310.png
n02219486,310,class_0310,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0310/002310-class0310.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0310/002310-class0310.png
n02443484,359,class_0359,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0359/000359-class0359.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0359/000359-class0359.png
n02443484,359,class_0359,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0359/001359-class0359.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0359/001359-class0359.png
n02443484,359,class_0359,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0359/002359-class0359.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0359/002359-class0359.png
n02457408,364,class_0364,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0364/000364-class0364.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0364/000364-class0364.png
n02457408,364,class_0364,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0364/001364-class0364.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0364/001364-class0364.png
n02457408,364,class_0364,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0364/002364-class0364.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0364/002364-class0364.png
n02606052,392,class_0392,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0392/000392-class0392.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0392/000392-class0392.png
n02606052,392,class_0392,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0392/001392-class0392.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0392/001392-class0392.png
n02606052,392,class_0392,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0392/002392-class0392.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0392/002392-class0392.png
n02687172,403,class_0403,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0403/000403-class0403.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0403/000403-class0403.png
n02687172,403,class_0403,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0403/001403-class0403.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0403/001403-class0403.png
n02687172,403,class_0403,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0403/002403-class0403.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0403/002403-class0403.png
n02747177,412,class_0412,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0412/000412-class0412.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0412/000412-class0412.png
n02747177,412,class_0412,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0412/001412-class0412.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0412/001412-class0412.png
n02747177,412,class_0412,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0412/002412-class0412.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0412/002412-class0412.png
n02795169,427,class_0427,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0427/000427-class0427.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0427/000427-class0427.png
n02795169,427,class_0427,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0427/001427-class0427.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0427/001427-class0427.png
n02795169,427,class_0427,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0427/002427-class0427.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0427/002427-class0427.png
n02823428,440,class_0440,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0440/000440-class0440.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0440/000440-class0440.png
n02823428,440,class_0440,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0440/001440-class0440.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0440/001440-class0440.png
n02823428,440,class_0440,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0440/002440-class0440.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0440/002440-class0440.png
n02871525,454,class_0454,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0454/000454-class0454.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0454/000454-class0454.png
n02871525,454,class_0454,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0454/001454-class0454.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0454/001454-class0454.png
n02871525,454,class_0454,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0454/002454-class0454.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0454/002454-class0454.png
n02950826,471,class_0471,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0471/000471-class0471.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0471/000471-class0471.png
n02950826,471,class_0471,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0471/001471-class0471.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0471/001471-class0471.png
n02950826,471,class_0471,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0471/002471-class0471.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0471/002471-class0471.png
n02966193,476,class_0476,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0476/000476-class0476.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0476/000476-class0476.png
n02966193,476,class_0476,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0476/001476-class0476.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0476/001476-class0476.png
n02966193,476,class_0476,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0476/002476-class0476.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0476/002476-class0476.png
n02971356,478,class_0478,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0478/000478-class0478.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0478/000478-class0478.png
n02971356,478,class_0478,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0478/001478-class0478.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0478/001478-class0478.png
n02971356,478,class_0478,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0478/002478-class0478.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0478/002478-class0478.png
n02981792,484,class_0484,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0484/000484-class0484.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0484/000484-class0484.png
n02981792,484,class_0484,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0484/001484-class0484.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0484/001484-class0484.png
n02981792,484,class_0484,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0484/002484-class0484.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0484/002484-class0484.png
n03017168,494,class_0494,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0494/000494-class0494.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0494/000494-class0494.png
n03017168,494,class_0494,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0494/001494-class0494.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0494/001494-class0494.png
n03017168,494,class_0494,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0494/002494-class0494.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0494/002494-class0494.png
n03047690,502,class_0502,1,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0502/000502-class0502.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0502/000502-class0502.png
n03047690,502,class_0502,2,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0502/001502-class0502.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0502/001502-class0502.png
n03047690,502,class_0502,3,/home/mahmood/DuoDiT/DuoDiT/DuoDiT200/class_0502/002502-class0502.png,/home/mahmood/DuoDiT/UserStudy/samples/duodit200/class_0502/002502-class0502.png
