,EXAONE-Tabular (default),RealTabPFN-2.5 (T+E),TabFM (default),TabPFN-2.6 (default),TabPFN-3 (default),TabICLv2 (default),LimiX (default),RealMLP (T+E),TabPFNv2 (T+E),TabM (T+E),Mitra (default),TabDPT-Turbo (default),LightGBM (T+E),TabDPT (T+E),CatBoost (T+E),ModernNCA (T+E),XGBoost (T+E),SAP-RPT-OSS (default),BetaTabPFN (default),xRFM (T+E),iLTM (T+E),EBM (T+E),ChimeraBoost (T+E),ExtraTrees (T+E),RandomForest (T+E),TabICL (default),TorchMLP (T+E),TabSwift (default),FastaiMLP (T+E),KNN (T+E),TabSTAR (T+E),OrionMSP (default),Linear (T+E),PerpetualBooster (T+E),TabFlex (default)
Mitra (default),0.12916666,0.20833334,0.06944445,0.18472223,0.30416667,0.20694445,0.39722222,0.44027776,0.46250004,0.5291667,,0.49305558,0.62777776,0.5111111,0.5875,0.63611114,0.6319445,0.42222223,0.7152778,0.7430556,0.69027776,0.6652778,0.71805555,0.65000004,0.675,0.62916666,0.6875,0.71250004,0.7263889,0.875,0.8666667,0.8541666,0.9875,0.9708333,0.875
TabDPT-Turbo (default),0.12916666,0.2013889,0.15833333,0.2,0.26805556,0.2875,0.4166667,0.45972222,0.45416668,0.43472224,0.5069445,,0.5208334,0.59166664,0.52222216,0.6458333,0.5847223,0.51666665,0.51111114,0.525,0.7097222,0.5375,0.5541667,0.73333335,0.6958333,0.69027776,0.67083335,0.7847222,0.70694447,0.87222224,0.82777774,0.9625,0.82916665,0.9430555,1.0
LightGBM (T+E),0.07777778,0.15416667,0.175,0.20833334,0.26111114,0.24999999,0.2652778,0.32638887,0.31527779,0.48888892,0.37222224,0.47916666,,0.48472223,0.5638889,0.59305555,0.6958333,0.61527777,0.59305555,0.5916667,0.6777777,0.73194444,0.76388884,0.6041667,0.5847223,0.6375,0.73888886,0.76666665,0.68611115,0.85,0.9666667,0.95,0.9291667,0.9625,1.0
TabDPT (T+E),0.18472223,0.24861112,0.15,0.30694443,0.2541667,0.25,0.38333333,0.49722221,0.44583333,0.5069445,0.48888892,0.40833333,0.51527774,,0.4611111,0.5263889,0.5263889,0.5125,0.58055556,0.5611111,0.6180556,0.59583336,0.6402778,0.5763889,0.6333333,0.5777778,0.64166665,0.7458334,0.7027778,0.95000005,0.8541666,0.975,0.825,0.95555556,1.0
CatBoost (T+E),0.008333334,0.06666667,0.14583333,0.16944444,0.25416666,0.24444447,0.27361113,0.34583336,0.325,0.48055553,0.4125,0.4777778,0.43611112,0.5388889,,0.6583333,0.6319444,0.5541667,0.57916665,0.60555553,0.6027778,0.6236111,0.6652778,0.6875,0.61388886,0.7291666,0.7013889,0.7944445,0.6722222,0.85833335,0.9736111,0.98333335,0.975,0.98333335,1.0
ModernNCA (T+E),0.029166669,0.087500006,0.1375,0.087500006,0.18472223,0.25555557,0.3125,0.3111111,0.38333336,0.37222224,0.3638889,0.35416666,0.40694445,0.47361112,0.3416667,,0.44583333,0.5569445,0.5069444,0.5555556,0.44861114,0.50277776,0.49861112,0.7458334,0.6666667,0.68472224,0.6041667,0.66111106,0.63055557,0.8680556,0.89305556,0.96111107,0.9361111,0.9875,0.99583334
XGBoost (T+E),0.0125,0.05,0.16805556,0.072222225,0.21111111,0.23888889,0.24722224,0.2,0.30833334,0.3486111,0.36805555,0.41527775,0.30416667,0.47361112,0.36805558,0.5541666,,0.5847222,0.55,0.5513889,0.55138886,0.6027778,0.55,0.6041667,0.5416666,0.6861111,0.67638886,0.63888884,0.6444444,0.8263889,0.9513889,0.9708333,0.9666667,0.975,0.99583334
SAP-RPT-OSS (default),0.11666667,0.19722222,0.18888889,0.3,0.36944443,0.44583333,0.34166667,0.41666666,0.4625,0.3986111,0.5777778,0.48333335,0.38472223,0.4875,0.44583333,0.44305554,0.41527778,,0.59305555,0.57916665,0.43611112,0.5,0.42083332,0.49583334,0.5,0.625,0.58611107,0.51666665,0.6319444,0.6458334,0.7222222,0.7,0.87916666,0.85,0.76805556
BetaTabPFN (default),0.06388889,0.12222222,0.1513889,0.1875,0.29444444,0.26944447,0.28055555,0.22361112,0.17083333,0.29166666,0.2847222,0.4888889,0.40694445,0.41944447,0.42083332,0.49305558,0.45,0.40694445,,0.4375,0.5347222,0.6527778,0.59027773,0.48333335,0.5208334,0.54305553,0.6805556,0.6027778,0.7083334,0.84583336,0.91944444,0.8833333,0.9625,0.9583334,1.0
xRFM (T+E),0.091666676,0.16250001,0.1375,0.21666668,0.21666667,0.25,0.20694447,0.20555556,0.19166666,0.33055556,0.25694445,0.475,0.40833333,0.43888888,0.39444444,0.44444445,0.44861108,0.42083335,0.5625,,0.4416667,0.4875,0.6388889,0.52500004,0.5611111,0.5611111,0.55694443,0.6986111,0.58750004,0.9361111,0.95,0.98333335,0.975,0.9458333,0.99583334
iLTM (T+E),0.025,0.09027778,0.14722222,0.065277785,0.20833333,0.18611111,0.2513889,0.2847222,0.32916665,0.43194443,0.30972224,0.29027778,0.3222222,0.38194442,0.39722222,0.55138886,0.44861114,0.5638889,0.4652778,0.55833334,,0.5611111,0.5361111,0.66944444,0.57777774,0.575,0.6305555,0.65972227,0.6166666,0.83055556,0.89305556,0.90694445,0.87777776,0.9236111,1.0
EBM (T+E),0.012500001,0.09027778,0.15555556,0.14166667,0.2013889,0.22916667,0.19583336,0.2625,0.2875,0.25694445,0.33472222,0.4625,0.26805556,0.4041667,0.37638888,0.49722221,0.39722222,0.49999997,0.34722227,0.5125,0.4388889,,0.45000002,0.5875,0.55694443,0.6041667,0.6791667,0.6555556,0.56388885,0.7875,0.9527778,0.92083335,0.9527778,0.95,0.99583334
ChimeraBoost (T+E),0.055555556,0.072222225,0.19861111,0.16944446,0.17083333,0.28194445,0.15555556,0.2263889,0.2625,0.2888889,0.28194445,0.44583336,0.2361111,0.35972223,0.33472225,0.5013889,0.45,0.57916665,0.4097222,0.3611111,0.46388888,0.54999995,,0.4583333,0.4875,0.5625,0.6138889,0.59444445,0.5347222,0.76111114,0.90555555,0.9166667,0.8375,0.9208333,0.9916667
ExtraTrees (T+E),0.12777779,0.18333334,0.13333334,0.18333334,0.14583333,0.2,0.14861111,0.34166667,0.34166667,0.47083333,0.35,0.26666665,0.39583334,0.4236111,0.3125,0.25416666,0.3958333,0.50416666,0.51666665,0.47500002,0.33055556,0.4125,0.5416667,,0.6486111,0.28333333,0.47361112,0.65,0.5375,0.9611111,0.85833335,0.94722223,0.69861114,0.93472224,0.9583333
RandomForest (T+E),0.091666676,0.16666667,0.14583333,0.19583334,0.16250001,0.18055555,0.13611111,0.29583332,0.32916668,0.4236111,0.325,0.30416667,0.41527778,0.36666667,0.3861111,0.3333333,0.4583333,0.5,0.47916666,0.4388889,0.42222223,0.44305557,0.51250005,0.3513889,,0.36666667,0.47083333,0.60833335,0.50416666,0.9222222,0.85694444,0.8694445,0.6458334,0.92638886,0.8986111
TabICL (default),0.09583333,0.12916666,0.016666668,0.13333334,0.041666668,0.025,0.20416667,0.35833332,0.4,0.40416664,0.37083334,0.30972221,0.3625,0.42222223,0.2708333,0.31527779,0.3138889,0.375,0.45694447,0.4388889,0.425,0.39583334,0.4375,0.7166667,0.6333333,,0.4652778,0.73333335,0.49999997,0.87083334,0.7430556,0.85,0.825,0.9666667,0.875
TorchMLP (T+E),0.012500001,0.06666667,0.14305556,0.06944445,0.16250001,0.20555557,0.2611111,0.29444444,0.2875,0.2777778,0.3125,0.32916668,0.2611111,0.35833332,0.29861113,0.39583337,0.3236111,0.41388887,0.31944448,0.44305557,0.36944446,0.32083333,0.3861111,0.5263889,0.5291667,0.5347222,,0.4666667,0.6277778,0.7652778,0.91249996,0.8541666,0.92083335,0.9,0.99583334
TabSwift (default),0.004166667,0.02638889,0.1375,0.068055555,0.11111111,0.1375,0.19444445,0.33194447,0.27499998,0.31666666,0.2875,0.21527778,0.23333335,0.2541667,0.20555556,0.33888888,0.3611111,0.48333335,0.39722222,0.3013889,0.3402778,0.34444445,0.40555558,0.35000002,0.39166668,0.26666668,0.53333336,,0.6041667,0.8361111,0.825,0.95416665,0.70416665,0.9388889,0.9708333
FastaiMLP (T+E),0.041666668,0.07083333,0.17916667,0.072222225,0.22083333,0.22916667,0.21944447,0.12638889,0.19166668,0.23888889,0.2736111,0.29305556,0.3138889,0.29722223,0.3277778,0.36944443,0.35555556,0.36805555,0.2916667,0.4125,0.38333333,0.43611112,0.4652778,0.4625,0.49583334,0.5,0.37222221,0.39583334,,0.70694447,0.6847222,0.62083334,0.8833333,0.7763889,0.95
KNN (T+E),0.05,0.11388889,0.12916666,0.087500006,0.11111111,0.12916666,0.101388894,0.11805556,0.15416667,0.10972223,0.125,0.12777779,0.15,0.05,0.14166668,0.13194445,0.1736111,0.35416666,0.15416667,0.06388889,0.16944446,0.2125,0.23888889,0.03888889,0.07777778,0.12916666,0.23472223,0.1638889,0.29305556,,0.39166665,0.35694444,0.3875,0.59583336,0.47361112
TabSTAR (T+E),0.004166667,0.004166667,0.12916666,0.004166667,0.041666668,0.12916666,0.059722222,0.04027778,0.13333334,0.03888889,0.13333334,0.17222223,0.033333335,0.14583333,0.02638889,0.10694444,0.048611112,0.2777778,0.08055556,0.05,0.10694444,0.047222223,0.094444446,0.14166667,0.14305556,0.25694445,0.0875,0.17500001,0.31527779,0.60833335,,0.41944444,0.6166666,0.69166666,0.55833334
OrionMSP (default),0.004166667,0.008333334,0.119444445,0.020833334,0.004166667,0.14166667,0.045833334,0.008333334,0.14166667,0.0375,0.14583333,0.0375,0.05,0.025,0.016666668,0.03888889,0.029166667,0.3,0.116666675,0.016666668,0.093055554,0.079166666,0.083333336,0.05277778,0.13055556,0.15,0.14583334,0.045833334,0.37916666,0.6430556,0.58055556,,0.54583335,0.7527778,0.7875
Linear (T+E),0.0,0.004166667,0.004166667,0.0125,0.008333334,0.008333334,0.008333334,0.004166667,0.008333334,0.025,0.012500001,0.17083333,0.07083333,0.175,0.025,0.06388889,0.033333335,0.12083334,0.0375,0.025,0.12222222,0.047222223,0.1625,0.3013889,0.3541667,0.17500001,0.079166666,0.29583335,0.11666667,0.61249995,0.38333333,0.45416665,,0.48055556,0.625
PerpetualBooster (T+E),0.008333334,0.008333334,0.004166667,0.020833334,0.016666668,0.016666668,0.0125,0.0125,0.016666668,0.029166667,0.029166667,0.056944445,0.0375,0.044444446,0.016666668,0.0125,0.025,0.15,0.041666668,0.054166667,0.07638889,0.05,0.079166666,0.06527778,0.07361111,0.033333335,0.1,0.061111115,0.22361112,0.40416664,0.30833334,0.24722223,0.51944447,,0.5902778
TabFlex (default),0.0,0.0,0.06944445,0.0,0.0,0.11111111,0.013888889,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.004166667,0.004166667,0.23194444,0.0,0.004166667,0.0,0.004166667,0.008333334,0.041666668,0.101388894,0.125,0.004166667,0.029166667,0.05,0.5263889,0.44166666,0.2125,0.375,0.4097222,
