latitude,longitude,distance_m,distance_km,r_min_m,v_safe_kmh,altitude_m,heading_deg,grade_pct,stop_event,lap,s_m,t_s,v_kmh,a_ms2,v_ceiling_kmh,f_traction_n,f_drag_n,f_roll_n,f_grade_n,f_cornering_n,p_wheel_w,p_motor_mech_w,p_motor_elec_w,p_fc_elec_w,h2_flow_m3_s,h2_cumulative_m3,accessory_energy_cumulative_j,motor_clipped,motor_state,weather_scenario,motor_name,fc_name,rule_violation
25.489840231879526,51.45634622289737,8840.090240221376,8.840090240221375,1298.0481321174043,374.5345318813824,11.5,89.52525167892895,1.2463485150458173,False,3,8840.090240221376,1311.097535203732,44.38345936686297,-0.19898068443172814,167.4768939446846,0.0,4.997789306107854,6.199438513075395,19.31665246222342,0.9250678588063768,0.0,0.0,0.0,10.0,1.0978737306214578e-06,0.04443598010215826,19441.46302805598,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.48984061316679,51.45639720134656,8845.217261340089,8.845217261340089,1203.395251745604,360.6206684794732,11.5,89.28428586447097,1.7498002905275787,False,3,8845.217261340089,1311.514799569313,44.08456019027464,-0.24838143690143233,166.2823888545267,0.0,4.943458012344615,6.198971071821257,27.11740345611223,0.9844344901482134,0.0,0.0,0.0,10.0,1.0978737306214578e-06,0.04443643820574396,19447.721993539697,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.48984116673973,51.45644629402644,8850.154839541916,8.850154839541917,1023.2768986829292,332.5393565863929,11.6,89.00785854153429,1.9962800466590664,False,3,8850.154839541916,1311.919670757465,43.722535235371204,-0.2731027627984916,165.1238527959966,0.0,4.87699423328926,6.198684993505608,30.93577792015057,1.138779375216236,0.0,0.0,0.0,10.0,1.0978737306214578e-06,0.044436882703185715,19453.795061361976,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.489841925162644,51.4564948113319,8855.034895432747,8.855034895432748,888.4970492463832,309.8663826248774,11.8,88.68759588416538,2.500699647523114,False,3,8855.034895432747,1312.3233137277357,43.32568559805676,-0.3230373051438404,163.9707706151401,0.0,4.805855770655072,6.197982349143531,38.748230689644274,1.2878254032839005,0.0,0.0,0.0,10.0,1.0978737306214578e-06,0.044437325852199325,19459.849705916036,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.48984295225953,51.45654447846257,8860.031160455641,8.860031160455641,1240.1290208525934,366.0832873695771,11.9,88.45626386043813,2.500699647523114,False,3,8860.031160455641,1312.7408005089153,42.840175901045114,-0.31998054789856656,162.78176816812962,0.0,4.708607241752474,6.197982349143531,38.748230689644274,0.9021062874332433,0.0,0.0,0.0,10.0,1.0978737306214578e-06,0.044437784199969264,19466.112007633732,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.48984415181866,51.45659378950008,8864.992097939816,8.864992097939815,1144.3038699847384,351.65528653140694,12.1,88.20791259443536,2.258962152581906,False,3,8864.992097939816,1313.1600474134846,42.357232825821285,-0.2960297507358671,161.59251699621882,7.105427357601002e-15,4.614098966852886,6.198338723467193,35.00453146298808,0.9557314629588456,8.360173358690715e-14,9.8354980690479e-14,192.09039548022596,223.43377275580661,2.8075983998978017e-05,0.044438244480132436,19472.40071120227,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.489845527998504,51.45664251704912,8869.89494533119,8.869894945331191,663.7720371337537,267.8279787215142,12.3,87.77427237089938,2.0077771301596625,False,3,8869.89494533119,1313.5789547966103,41.910800252272,-0.27512910884894004,160.4085288755556,0.0,4.544778341655339,6.198670731421587,31.113873329845823,1.6130767952097764,0.0,0.0,0.0,10.0,1.0978737306214578e-06,0.04445000571711813,19478.684321949157,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.489847301435983,51.45669306751264,8874.982545098117,8.874982545098117,1114.3821104202632,347.0272135604097,12.4,87.51097349153127,1.5016694724632618,False,3,8874.982545098117,1314.018243145967,41.47570060876163,-0.22082217740712168,159.17061405342304,0.0,4.4767611325209,6.19922107375091,23.27295259875666,0.9409692252967556,0.0,0.0,0.0,10.0,1.0978737306214578e-06,0.044450488000257055,19485.273647189508,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.48984928801837,51.456743696977085,8880.079048992971,8.880079048992972,1636.992160988383,420.60048309749374,12.5,87.33363608589389,0.7488249126276227,False,3,8880.079048992971,1314.4624999522784,41.122534289690144,-0.14465491898136174,157.9208036810853,0.0,4.41971780637381,6.19974618054054,11.606310979891768,0.6297022322490334,0.0,0.0,0.0,10.0,1.0978737306214578e-06,0.044450975738134356,19491.93749928418,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.489851367198188,51.45679315746409,8885.058566293841,8.885058566293841,1277.6337258978492,371.5777075542259,12.4,87.10991885834608,0.24848447672362697,False,3,8885.058566293841,1314.8996329538054,40.89489390957832,-0.09644560869278627,156.69005383228463,0.0,4.389147537474935,6.199900859529712,3.851447802046513,0.7979099744090727,0.0,0.0,0.0,10.0,1.0978737306214578e-06,0.04445145565497352,19498.494494307084,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
