#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
53,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1252.0,+178/-216,0.145,44.1,30.81,26.47,11.75,0.127,✔️,0.0,False,CPU,model,
54,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1246.0,+30/-46,0.0,44.58,43.01,24.799,5.48,0.599,✔️,0.0,False,CPU,model,
55,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1218.0,+99/-97,0.022,46.74,38.32,28.904,20.96,0.482,✔️,0.0,False,GPU,model,
56,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1208.0,+51/-74,0.0,47.52,44.18,27.303,19.64,7.682,✔️,0.0,False,GPU,model,
57,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),1164.0,+90/-175,0.055,50.73,44.58,28.873,10.84,2.189,✔️,0.0,False,GPU,model,
58,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1102.0,+78/-145,0.0,54.95,40.59,31.205,14.75,0.337,✔️,0.0,False,CPU,model,
59,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),1079.0,+214/-335,0.069,56.42,25.63,39.017,173.46,1.637,✔️,0.0,False,CPU,model,
60,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),1044.0,+82/-148,0.0,58.56,54.89,34.525,22.95,3.32,➖,0.0,False,GPU,model,
61,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1044.0,+106/-167,0.0,58.59,57.28,30.924,581.49,277.193,✔️,0.0,False,GPU,model,
62,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1043.0,+148/-200,0.0,58.63,52.23,32.769,42561.15,35.622,✔️,0.0,False,GPU,model,
63,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),1036.0,+104/-203,0.0,59.01,55.48,40.825,905.41,0.875,✔️,0.0,False,CPU,model,
64,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1034.0,+139/-193,0.0,59.13,54.66,32.904,42561.15,9.171,✔️,0.0,False,GPU,model,
65,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),1006.0,+98/-216,0.0,60.75,57.0,41.327,905.41,0.175,✔️,0.0,False,CPU,model,
66,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+117/-201,0.0,61.05,56.78,39.75,0.85,0.148,✔️,0.0,False,CPU,model,
67,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),996.0,+156/-183,0.0,61.24,58.03,34.463,8.97,0.742,✔️,0.0,False,CPU,model,
68,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),996.0,+130/-211,0.0,61.28,58.7,37.624,5.99,1.009,✔️,0.0,False,CPU,model,
69,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),925.0,+92/-224,0.0,64.79,55.73,52.338,1838.94,13.381,✔️,0.0,False,CPU,model,
70,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),924.0,+83/-130,0.0,64.82,64.23,39.207,5.83,1.167,➖,0.0,False,GPU,model,
71,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),917.0,+269/-421,0.06,65.15,45.68,48.297,173.46,0.147,✔️,0.0,False,CPU,model,
72,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),881.0,+135/-244,0.0,66.67,64.59,41.544,801.38,8.877,✔️,0.0,False,GPU,model,
73,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),880.0,+96/-237,0.0,66.68,38.48,53.893,1838.94,5.572,✔️,0.0,False,CPU,model,
74,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),867.0,+111/-279,0.0,67.2,32.08,57.771,295.36,0.573,✔️,0.0,False,CPU,model,
75,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),793.0,+87/-248,0.0,69.76,69.09,47.895,4.72,0.188,✔️,0.0,False,CPU,model,
76,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),415.0,+51/-268,0.0,76.09,76.07,69.946,0.57,0.067,✔️,0.0,False,CPU,model,
