#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
19,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1606.0,+376/-112,0.227,22.2,17.96,7.913,223.05,0.793,✔️,0.0,False,CPU
20,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1602.0,+550/-218,0.334,22.4,18.29,6.016,2552.31,0.201,✔️,0.0,False,GPU
21,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1594.0,+388/-58,0.303,22.8,20.52,6.408,438.56,0.52,✔️,0.0,False,GPU
22,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1590.0,+321/-79,0.176,23.0,14.3,8.15,917.62,0.422,✔️,0.0,False,CPU
23,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1557.0,+314/-94,0.161,24.6,12.93,8.303,917.62,0.016,✔️,0.0,False,CPU
24,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1546.0,+470/-184,0.28,25.2,19.69,7.074,2410.31,0.581,✔️,0.0,False,GPU
25,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1519.0,+446/-178,0.234,26.6,21.16,7.704,2410.31,0.045,✔️,0.0,False,GPU
26,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1496.0,+300/-75,0.177,27.8,26.39,7.379,438.56,0.035,✔️,0.0,False,GPU
27,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1486.0,+334/-225,0.155,28.4,21.55,8.948,2.73,0.01,✔️,0.0,False,CPU
28,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1475.0,+391/-136,0.191,29.0,26.7,7.245,6.87,0.098,✔️,0.0,False,GPU
29,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1442.0,+284/-109,0.102,30.8,29.57,8.739,289.35,1.798,✔️,0.0,False,CPU
30,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1431.0,+312/-140,0.097,31.4,29.83,8.805,289.35,0.36,✔️,0.0,False,CPU
31,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1397.0,+202/-41,0.089,33.2,32.6,8.165,2150.19,65.934,✔️,0.0,False,GPU
32,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1393.0,+634/-299,0.184,33.4,19.49,7.945,24.62,8.835,➖,0.0,False,GPU
33,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1381.0,+414/-474,0.122,34.0,25.43,12.794,125.2,0.276,✔️,0.0,False,CPU
34,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1347.0,+446/-336,0.171,35.8,27.75,9.123,0.51,0.126,➖,0.0,False,GPU
35,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1343.0,+384/-461,0.108,36.0,30.03,12.83,125.2,0.041,✔️,0.0,False,CPU
36,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1316.0,+183/-127,0.051,37.4,36.66,9.289,2150.19,18.752,✔️,0.0,False,GPU
