#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
59,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),1099.0,+151/-242,0.007,56.96,51.52,29.184,43.46,0.087,✔️,0.0,False,CPU
60,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1094.0,+80/-102,0.0,57.22,55.63,27.292,2951.8,4.991,✔️,0.0,False,GPU
61,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),1073.0,+101/-219,0.009,58.31,50.24,27.102,331.68,44.947,✔️,0.0,False,CPU
62,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),1056.0,+157/-252,0.004,59.16,54.57,30.271,43.46,0.021,✔️,0.0,False,CPU
63,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1032.0,+124/-202,0.0,60.3,53.23,27.782,22.82,0.606,✔️,0.0,False,CPU
64,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+99/-184,0.0,61.76,60.39,25.572,0.12,0.013,✔️,0.0,False,CPU
65,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),994.0,+129/-230,0.0,62.02,57.25,29.099,22.82,0.253,✔️,0.0,False,CPU
66,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),968.0,+100/-180,0.0,63.12,61.85,27.813,17.17,6.883,➖,0.0,False,GPU
67,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),968.0,+97/-219,0.0,63.14,61.83,27.61,0.34,0.057,✔️,0.0,False,CPU
68,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),950.0,+128/-233,0.0,63.88,61.69,31.788,0.2,0.023,✔️,0.0,False,CPU
69,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),935.0,+59/-105,0.0,64.46,63.66,32.876,86.28,1.898,✔️,0.0,False,GPU
70,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),932.0,+190/-425,0.021,64.54,57.89,34.021,2.8,0.224,✔️,0.0,False,GPU
71,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),880.0,+98/-165,0.0,66.42,65.39,35.293,0.2,0.033,➖,0.0,False,GPU
72,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),852.0,+42/-124,0.0,67.31,66.98,34.21,331.68,1.626,✔️,0.0,False,CPU
73,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),804.0,+146/-282,0.0,68.69,67.56,37.208,1.64,0.023,✔️,0.0,False,CPU
74,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),514.0,+90/-313,0.0,73.64,73.61,50.707,0.12,0.101,✔️,0.0,False,CPU
