,TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),TabPFN-2.6 (default),TabICLv2 (default),RealTabPFN-2.5 (T+E),RealMLP (T+E),TabM (T+E),TabDPT-Turbo (default),LightGBM (T+E),LimiX (default),TabDPT (T+E),CatBoost (T+E),iLTM (T+E),BetaTabPFN (default),XGBoost (T+E),ModernNCA (T+E),TabSwift (default),ChimeraBoost (T+E),xRFM (T+E),EBM (T+E),SAP-RPT-OSS (default),TorchMLP (T+E),FastaiMLP (T+E),ExtraTrees (T+E),RandomForest (T+E),TabSTAR (T+E),OrionMSP (default),PerpetualBooster (T+E),Linear (T+E),KNN (T+E),TabFlex (default)
LimiX (default),0.123830415,0.13274854,0.25497076,0.27719298,0.27704677,0.28625733,0.46461985,0.5207603,0.41900584,0.5868421,,0.49166664,0.59590644,0.62529236,0.5450292,0.6307017,0.5640351,0.5546784,0.66081876,0.62163746,0.6821638,0.6350878,0.6470761,0.6612573,0.7447368,0.7505848,0.72105265,0.78932744,0.8143275,0.8347953,0.7964912,0.79941523
TabDPT (T+E),0.09356725,0.115204684,0.1760234,0.25760233,0.20190059,0.30730996,0.4662281,0.44400588,0.40643278,0.51081866,0.5083334,,0.52163744,0.54005843,0.5295322,0.5282164,0.55818707,0.607456,0.5850877,0.6197369,0.6346492,0.63479537,0.6548246,0.7081871,0.7561403,0.79590636,0.7660819,0.88479537,0.88713455,0.8102339,0.89722234,0.9035087
CatBoost (T+E),0.12309942,0.071783625,0.19269009,0.22222222,0.24444441,0.23596488,0.35321638,0.41257313,0.4263158,0.4482456,0.40409353,0.47836253,,0.5324562,0.5479532,0.5861111,0.55672514,0.5842106,0.61461985,0.654386,0.66842103,0.6625731,0.6719298,0.71228075,0.7883041,0.815497,0.82309943,0.7818713,0.88479537,0.88888884,0.895614,0.8438596
iLTM (T+E),0.1251462,0.083333336,0.18157896,0.20730993,0.23099412,0.26856717,0.3236842,0.4021929,0.41549712,0.4805556,0.37470758,0.4599415,0.46754384,,0.5274853,0.5510233,0.5450292,0.53888893,0.589766,0.65745616,0.65497077,0.6391813,0.675731,0.74239767,0.76505846,0.8005848,0.7893275,0.80423975,0.89619887,0.85614043,0.8833334,0.88801163
BetaTabPFN (default),0.10160818,0.092690066,0.17792399,0.20789476,0.19473685,0.20964915,0.3447368,0.32690057,0.447076,0.45643273,0.45497075,0.4704678,0.45204675,0.47251472,,0.49415207,0.47602338,0.53771925,0.5586257,0.5459064,0.62251467,0.5935674,0.61783624,0.6660819,0.70906436,0.73011696,0.855848,0.7883041,0.83742684,0.88011694,0.89035094,0.89298236
XGBoost (T+E),0.092690066,0.045906436,0.1621345,0.20409355,0.22748536,0.21637425,0.2716374,0.35994154,0.4108187,0.3254386,0.36929825,0.47178364,0.4138889,0.44897658,0.50584793,,0.48128656,0.51286554,0.52631587,0.6074561,0.61754376,0.5991229,0.6349416,0.6520468,0.7497077,0.802193,0.80116963,0.78084797,0.83538014,0.88479537,0.8774854,0.8492691
ModernNCA (T+E),0.100877196,0.05526316,0.13245614,0.15,0.21432748,0.24707603,0.35233915,0.3605263,0.43070185,0.45438597,0.43596488,0.44181287,0.44327486,0.45497075,0.5239766,0.5187135,,0.52573097,0.53625727,0.5552631,0.61695915,0.5918129,0.5918129,0.644152,0.72105265,0.72660816,0.7362573,0.7362573,0.82309943,0.78304094,0.83435667,0.80058485
TabSwift (default),0.11257311,0.093274854,0.11081872,0.19970761,0.15789475,0.21461989,0.41315794,0.35584792,0.2980994,0.4116959,0.44532165,0.39254388,0.41578948,0.46111107,0.46228066,0.4871345,0.474269,,0.5055556,0.55497074,0.5406432,0.58479536,0.56842107,0.6929825,0.6722222,0.6704678,0.7918129,0.89181286,0.8760235,0.79970753,0.83888894,0.94883037
ChimeraBoost (T+E),0.100584805,0.07485381,0.13567252,0.17134503,0.2122807,0.22529238,0.3378655,0.34327483,0.37134504,0.36798248,0.33918133,0.41491225,0.38538012,0.410234,0.44137427,0.47368416,0.4637427,0.49444446,,0.5573099,0.5885965,0.6233918,0.57397664,0.6064328,0.6649123,0.7184211,0.804386,0.7573099,0.79561406,0.8391813,0.8266082,0.85643274
xRFM (T+E),0.09853802,0.067251466,0.1511696,0.18245615,0.21081872,0.20321639,0.23304093,0.35643274,0.36900586,0.3657895,0.37836257,0.38026318,0.34561405,0.34254387,0.45409355,0.39254388,0.44473684,0.4450292,0.44269004,,0.54912275,0.5102339,0.5081871,0.62324566,0.6716375,0.7134503,0.7225146,0.79298246,0.78888893,0.87953216,0.90219295,0.8739765
EBM (T+E),0.08421052,0.05730994,0.13274854,0.14502926,0.18713452,0.17368424,0.23684213,0.24005847,0.36842108,0.29371345,0.31783625,0.36535084,0.33157897,0.3450292,0.37748536,0.38245615,0.383041,0.45935676,0.41140354,0.4508772,,0.55467844,0.53713447,0.5685673,0.68786544,0.6915204,0.78070176,0.7497076,0.79122806,0.87485373,0.8602339,0.86198837
SAP-RPT-OSS (default),0.10847952,0.086257316,0.17836256,0.17456141,0.22953217,0.19225147,0.3032164,0.3078948,0.37105265,0.34532169,0.36491227,0.3652047,0.33742693,0.36081874,0.40643272,0.4008772,0.40818715,0.4152047,0.3766082,0.48976612,0.44532165,,0.5134503,0.58011705,0.6140351,0.6121345,0.6552632,0.70263165,0.7862573,0.8324562,0.7818713,0.8394737
TorchMLP (T+E),0.066081874,0.04093568,0.10994152,0.11783626,0.15116958,0.15614036,0.22982454,0.27397662,0.31081873,0.33070168,0.35292396,0.34517542,0.32807016,0.324269,0.38216367,0.36505845,0.40818712,0.43157893,0.4260234,0.49181286,0.46286553,0.48654974,,0.6263158,0.6725147,0.70292395,0.7665205,0.7403509,0.8295322,0.8527778,0.8327485,0.86169595
FastaiMLP (T+E),0.103801176,0.054678366,0.12792398,0.14093569,0.14853801,0.16593567,0.1378655,0.23304093,0.26286548,0.30350876,0.33874267,0.29181287,0.28771934,0.25760233,0.33391815,0.3479532,0.35584792,0.3070175,0.39356723,0.37675437,0.43143272,0.41988298,0.37368417,,0.57397664,0.6346491,0.65380114,0.6499999,0.74444443,0.8172514,0.80818707,0.8388889
ExtraTrees (T+E),0.05877193,0.05292398,0.064619884,0.08421052,0.10862574,0.11608188,0.17719297,0.23070174,0.21359646,0.2168129,0.25526318,0.24385966,0.2116959,0.23494153,0.2909357,0.25029242,0.27894735,0.3277778,0.3350877,0.32836255,0.3121345,0.3859649,0.3274854,0.4260234,,0.59225154,0.6020468,0.6994152,0.6766082,0.70277774,0.8520468,0.7915206
RandomForest (T+E),0.051754385,0.033333335,0.080409355,0.0883041,0.09444445,0.1011696,0.1374269,0.20847954,0.19532165,0.18333335,0.2494152,0.20409358,0.18450293,0.19941522,0.26988307,0.19780703,0.2733918,0.32953215,0.28157896,0.28654978,0.3084795,0.38786548,0.29707602,0.36535084,0.40774852,,0.6078947,0.6345029,0.6675439,0.68801165,0.8073099,0.72222227
TabSTAR (T+E),0.118128665,0.10643275,0.10321638,0.1254386,0.13450293,0.12631579,0.15847953,0.15438597,0.20233919,0.17105263,0.27894738,0.23391815,0.1769006,0.21067253,0.14415205,0.19883044,0.2637427,0.20818715,0.19561405,0.2774854,0.21929824,0.3447368,0.23347954,0.3461988,0.3979532,0.39210525,,0.50731003,0.6350878,0.6190058,0.66374266,0.6640351
OrionMSP (default),0.049122807,0.04152047,0.042690065,0.075731,0.069005854,0.06549708,0.1397661,0.16842106,0.11637427,0.17602341,0.21067253,0.1152047,0.21812865,0.19576025,0.21169592,0.21915208,0.2637427,0.10818714,0.24269004,0.20701754,0.25029242,0.2973684,0.2596491,0.35000005,0.30058482,0.36549708,0.49269003,,0.57748544,0.6365498,0.6149123,0.7166667
PerpetualBooster (T+E),0.011988305,0.01374269,0.042397667,0.04912281,0.052046787,0.04035088,0.064619884,0.09415205,0.112865485,0.08684211,0.1856725,0.1128655,0.115204684,0.103801176,0.16257308,0.1646199,0.17690057,0.12397662,0.20438597,0.21111111,0.20877193,0.21374269,0.17046784,0.25555554,0.32339182,0.33245614,0.36491227,0.42251462,,0.5815789,0.552924,0.5517545
Linear (T+E),0.03391813,0.034210525,0.062573105,0.0637427,0.058479536,0.08771931,0.075730994,0.083625734,0.17309941,0.09327486,0.16520466,0.18976608,0.11111111,0.14385965,0.11988304,0.115204684,0.21695907,0.2002924,0.16081871,0.12046784,0.1251462,0.16754386,0.14722224,0.18274854,0.29722223,0.3119883,0.3809942,0.3634503,0.4184211,,0.48304096,0.5248538
KNN (T+E),0.05,0.019005848,0.061403513,0.05877193,0.05964913,0.084795326,0.088304095,0.10555556,0.09853802,0.094736844,0.20350876,0.10277778,0.10438597,0.11666667,0.10964913,0.12251461,0.16564327,0.16111112,0.1733918,0.09780702,0.1397661,0.21812865,0.16725147,0.19181287,0.14795323,0.19269004,0.3362573,0.3850877,0.447076,0.5169591,,0.5005848
TabFlex (default),0.044736844,0.04766082,0.036842104,0.050584797,0.06491228,0.060526315,0.110818714,0.10175439,0.07777778,0.12660818,0.2005848,0.09649123,0.15614034,0.111988306,0.107017554,0.15073098,0.19941519,0.051169593,0.14356725,0.12602338,0.1380117,0.16052632,0.1383041,0.16111112,0.20847952,0.2777778,0.3359649,0.2833333,0.4482456,0.4751462,0.4994152,
