#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
21,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1375.0,+90/-78,0.268,27.33,13.82,16.611,3436.74,0.405,✔️,0.0,False,GPU,model,
22,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1374.0,+74/-72,0.242,27.38,16.62,17.137,463.01,0.613,✔️,0.0,False,CPU,model,
23,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1371.0,+92/-80,0.281,27.6,13.76,16.594,1641.74,0.219,✔️,0.0,False,GPU,model,
24,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1362.0,+93/-75,0.245,28.35,16.01,16.863,1.11,0.062,➖,0.0,False,GPU,model,
25,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1353.0,+96/-95,0.273,29.05,15.74,16.934,3436.74,8.476,✔️,0.0,False,GPU,model,
26,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1338.0,+75/-77,0.21,30.2,12.99,17.491,463.01,0.108,✔️,0.0,False,CPU,model,
27,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1335.0,+87/-63,0.226,30.47,19.92,18.431,248.52,1.699,➖,0.0,False,GPU,model,
28,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1334.0,+78/-73,0.231,30.52,17.54,16.978,5891.3,39.564,✔️,0.0,False,GPU,model,
29,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1328.0,+87/-68,0.22,30.97,20.19,17.87,1.8,0.049,✔️,0.0,False,CPU,model,
30,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1326.0,+62/-60,0.179,31.18,25.57,17.763,328.64,0.089,✔️,0.0,False,CPU,model,
31,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1320.0,+56/-55,0.197,31.6,20.76,17.293,8274.67,40.268,✔️,0.0,False,GPU,model,
32,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1310.0,+66/-60,0.15,32.43,23.36,18.573,976.68,0.14,✔️,0.0,False,CPU,model,
33,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1301.0,+70/-84,0.199,33.13,24.13,17.716,559.77,1.513,✔️,0.0,False,GPU,model,
34,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1300.0,+52/-50,0.144,33.23,24.28,17.937,9.04,1.162,✔️,0.0,False,GPU,model,
