#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
14,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),4874.0,+0/-0,0.435,15.33,14.78,14.138,61.95,0.016,✔️,0.0,False,CPU
15,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),4858.0,+0/-0,0.41,15.56,15.12,14.638,157.72,0.374,✔️,0.0,False,CPU
16,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),4843.0,+0/-0,0.432,15.78,14.7,14.204,0.82,0.277,➖,0.0,False,GPU
17,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),4610.0,+0/-0,0.378,18.78,18.71,15.327,466.47,1.036,✔️,0.0,False,CPU
18,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),4577.0,+0/-0,0.368,19.22,18.86,15.529,1199.98,0.344,✔️,0.0,False,CPU
19,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),4568.0,+0/-0,0.365,19.33,18.42,15.578,1199.98,0.081,✔️,0.0,False,CPU
20,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),4493.0,+0/-0,0.363,20.22,20.07,15.649,0.39,0.051,✔️,0.0,False,CPU
21,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),4465.0,+0/-0,0.363,20.56,20.46,15.649,466.47,0.051,✔️,0.0,False,CPU
22,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),4068.0,+0/-0,0.285,25.22,24.88,17.235,1222.57,21.653,✔️,0.0,False,GPU
23,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),4041.0,+0/-0,0.287,25.56,25.33,17.181,3.47,0.021,✔️,0.0,False,CPU
24,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),4014.0,+0/-0,0.266,25.89,24.63,17.589,1.48,0.53,✔️,0.0,False,GPU
25,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),3997.0,+0/-0,0.274,26.11,25.99,17.438,68.36,0.189,✔️,0.0,False,CPU
26,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),3979.0,+0/-0,0.276,26.33,26.19,17.409,68.36,0.017,✔️,0.0,False,CPU
27,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),3970.0,+0/-0,0.274,26.44,26.38,17.448,4423.3,29.199,✔️,0.0,False,GPU
28,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),3933.0,+0/-0,0.257,26.89,26.53,17.775,11.15,0.014,✔️,0.0,False,CPU
29,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),3709.0,+0/-0,0.225,29.33,29.29,18.417,4423.3,2.237,✔️,0.0,False,GPU
30,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564),3682.0,+0/-0,0.219,29.56,29.46,18.522,2.82,1.073,✔️,0.0,False,GPU
31,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),2845.0,+0/-0,0.134,32.44,32.42,20.128,26.01,0.151,✔️,0.0,False,CPU
32,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),2641.0,+0/-0,0.093,33.44,33.4,20.889,1222.57,7.855,✔️,0.0,False,GPU
33,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),2486.0,+0/-0,0.093,34.44,34.4,20.889,52.0,7.855,✔️,0.0,False,GPU
34,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),2343.0,+0/-0,0.059,35.56,35.41,21.497,0.58,0.2,➖,0.0,False,GPU
35,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),2266.0,+0/-0,0.049,36.22,36.16,21.684,0.23,0.014,✔️,0.0,False,CPU
36,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),2142.0,+0/-0,0.015,37.33,37.29,22.269,4638.97,343.207,✔️,0.0,False,GPU
37,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),2080.0,+0/-0,0.0,37.89,37.76,22.636,2389.34,0.023,✔️,0.0,False,CPU
38,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),2042.0,+0/-0,0.0,38.22,38.04,22.535,2389.34,0.267,✔️,0.0,False,CPU
