#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
44,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1307.0,+109/-97,0.057,42.9,39.39,17.514,1128.74,0.054,✔️,0.0,False,CPU
45,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1306.0,+180/-155,0.095,43.0,37.26,20.618,68.71,7.89,✔️,0.0,False,GPU
46,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1306.0,+175/-164,0.081,43.0,32.57,19.304,82.52,0.97,➖,0.0,False,GPU
47,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1304.0,+254/-289,0.199,43.1,7.8,19.92,5.05,2.948,➖,0.0,False,GPU
48,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1293.0,+116/-100,0.044,43.8,39.0,18.122,52.7,0.017,✔️,0.0,False,CPU
49,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1289.0,+113/-143,0.031,44.1,41.59,17.838,49.21,0.149,✔️,0.0,False,CPU
50,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1258.0,+93/-132,0.038,46.0,43.41,17.85,0.33,0.05,✔️,0.0,False,CPU
51,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1244.0,+77/-109,0.019,46.9,45.14,18.425,11.03,0.489,✔️,0.0,False,GPU
52,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1232.0,+114/-116,0.023,47.6,43.86,20.846,14.93,13.661,➖,0.0,False,GPU
53,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1227.0,+145/-198,0.032,47.9,43.18,19.861,49.21,0.014,✔️,0.0,False,CPU
54,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1193.0,+127/-163,0.014,49.95,45.99,22.143,41.63,39.259,✔️,0.0,False,GPU
55,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1155.0,+115/-174,0.012,52.1,48.99,22.29,387.73,0.089,✔️,0.0,False,CPU
56,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1137.0,+93/-124,0.009,53.1,51.3,20.92,1.84,0.047,✔️,0.0,False,CPU
57,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1060.0,+74/-103,0.0,57.1,55.97,27.313,3486.11,2.194,✔️,0.0,False,GPU
58,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),1058.0,+151/-236,0.016,57.2,52.9,25.8,1.63,0.11,✔️,0.0,False,CPU
59,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),1046.0,+187/-268,0.011,57.75,52.67,30.522,43.41,0.111,✔️,0.0,False,CPU
60,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),1043.0,+123/-227,0.015,57.9,54.61,27.24,332.4,33.481,✔️,0.0,False,CPU
61,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1039.0,+71/-109,0.0,58.1,57.01,27.383,3486.11,8.148,✔️,0.0,False,GPU
62,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),1008.0,+165/-283,0.001,59.55,55.7,31.403,43.41,0.02,✔️,0.0,False,CPU
63,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+123/-244,0.0,59.9,58.05,25.847,0.11,0.012,✔️,0.0,False,CPU
64,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),956.0,+101/-212,0.0,61.8,60.66,27.0,17.26,6.893,➖,0.0,False,GPU
65,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),934.0,+145/-199,0.0,62.7,60.7,29.867,22.23,0.567,✔️,0.0,False,CPU
66,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),893.0,+80/-237,0.0,64.3,63.85,29.041,0.32,0.056,✔️,0.0,False,CPU
67,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),890.0,+49/-123,0.0,64.4,63.79,33.692,85.23,2.947,✔️,0.0,False,GPU
68,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),865.0,+97/-246,0.0,65.3,64.64,32.976,0.21,0.019,✔️,0.0,False,CPU
69,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),865.0,+150/-256,0.0,65.3,63.85,31.186,22.23,0.236,✔️,0.0,False,CPU
70,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),859.0,+238/-497,0.021,65.5,57.46,36.038,2.96,0.183,✔️,0.0,False,GPU
71,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),823.0,+52/-173,0.0,66.7,66.42,34.968,332.4,1.631,✔️,0.0,False,CPU
72,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),789.0,+90/-201,0.0,67.7,67.01,37.612,0.18,0.032,➖,0.0,False,GPU
73,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),737.0,+162/-364,0.0,69.1,68.22,39.362,1.67,0.018,✔️,0.0,False,CPU
74,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),479.0,+102/-371,0.0,73.5,73.47,51.192,0.12,0.093,✔️,0.0,False,CPU
