,TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),TabICLv2 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),RealMLP (T+E),TabM (T+E),TabDPT-Turbo (default),LightGBM (T+E),TabDPT (T+E),iLTM (T+E),CatBoost (T+E),LimiX (default),TabSwift (default),BetaTabPFN (default),ChimeraBoost (T+E),XGBoost (T+E),ModernNCA (T+E),xRFM (T+E),TorchMLP (T+E),EBM (T+E),SAP-RPT-OSS (default),FastaiMLP (T+E),TabSTAR (T+E),ExtraTrees (T+E),OrionMSP (default),RandomForest (T+E),PerpetualBooster (T+E),Linear (T+E),TabFlex (default),KNN (T+E)
TorchMLP (T+E),0.045555558,0.048518527,0.095925935,0.13666669,0.13074075,0.18,0.21259262,0.27296296,0.30592594,0.34925926,0.34166667,0.31222227,0.33592594,0.3774074,0.42222223,0.39888886,0.40962967,0.3761111,0.4114815,0.50481486,,0.50074077,0.50592595,0.62592596,0.7275926,0.7114815,0.71000004,0.74925923,0.81074077,0.83462965,0.82592595,0.85074073
EBM (T+E),0.06518518,0.06814815,0.11444446,0.17592594,0.14592594,0.19592594,0.23000002,0.23555557,0.34333333,0.30055556,0.355,0.32000002,0.31962967,0.35037038,0.40703705,0.38555557,0.33333334,0.37851858,0.3525926,0.43444446,0.4992592,,0.56925935,0.5698148,0.73481476,0.7146296,0.704074,0.7274074,0.7488889,0.85407406,0.8262964,0.8796297
SAP-RPT-OSS (default),0.08703704,0.07592593,0.1274074,0.17185186,0.14111112,0.19092593,0.272963,0.28370374,0.34111115,0.33481488,0.33259258,0.34074077,0.3085185,0.3711111,0.3881482,0.35666665,0.35481483,0.39703706,0.39888892,0.465926,0.49407402,0.43074074,,0.56629634,0.6374074,0.6455556,0.7033333,0.64203715,0.76925933,0.82,0.8585186,0.8181482
FastaiMLP (T+E),0.08370371,0.06185185,0.103148155,0.12703705,0.15925927,0.1912963,0.14092593,0.23148149,0.2548148,0.30074072,0.29037037,0.22407408,0.27703705,0.37055558,0.28333327,0.3451852,0.34185183,0.3459259,0.35222223,0.36722222,0.374074,0.43018517,0.4337036,,0.6455556,0.6037037,0.6577778,0.6716667,0.7359259,0.79962957,0.80925924,0.8351851
TabSTAR (T+E),0.115185186,0.13370371,0.11962963,0.13592593,0.15777779,0.15888889,0.19,0.18518518,0.21037038,0.20777778,0.2574074,0.23833336,0.21703704,0.33740744,0.21703704,0.16111112,0.21185185,0.23888892,0.30555555,0.33814818,0.2724074,0.2651852,0.36259255,0.35444444,,0.4662963,0.53074074,0.45851853,0.62,0.6196296,0.69222224,0.6785185
ExtraTrees (T+E),0.03888889,0.034074076,0.042962965,0.08425927,0.05777778,0.09814815,0.13333334,0.16666666,0.19944444,0.16907409,0.19592594,0.20944445,0.1848148,0.2837037,0.24185185,0.23074074,0.26777777,0.21148148,0.28555554,0.28925928,0.28851852,0.28537038,0.3544444,0.39629632,0.53370374,,0.6333334,0.5772222,0.6077778,0.70388895,0.7470371,0.82296306
OrionMSP (default),0.030370373,0.05148148,0.05296297,0.049629632,0.09037038,0.08074074,0.17481484,0.20333335,0.13740739,0.20962963,0.13925926,0.22314814,0.27185187,0.25462964,0.12481482,0.23703705,0.26629633,0.26981485,0.32370374,0.25777778,0.29,0.29592595,0.29666665,0.34222224,0.46925923,0.3666667,,0.42814818,0.53074074,0.6607408,0.69777775,0.6074075
RandomForest (T+E),0.02666667,0.017777778,0.058518525,0.07148148,0.05962963,0.08370371,0.09518518,0.15111113,0.16629629,0.12148149,0.16074076,0.14000002,0.13074073,0.27962965,0.2551852,0.21407409,0.17555556,0.12833335,0.25740743,0.2459259,0.25074077,0.27259257,0.35796297,0.32833332,0.54148144,0.42277774,0.57185185,,0.59851855,0.6992592,0.6751852,0.77666664
PerpetualBooster (T+E),0.014074074,0.015185186,0.049259264,0.061481483,0.056666672,0.048888896,0.078518525,0.111481495,0.12777777,0.10000001,0.13111112,0.11111112,0.14148149,0.23185185,0.14074074,0.19481482,0.21222223,0.20185187,0.22074074,0.25296295,0.18925928,0.25111112,0.23074074,0.2640741,0.38,0.39222226,0.46925926,0.4014815,,0.5981481,0.54148155,0.5925926
Linear (T+E),0.041851856,0.043333333,0.077037044,0.07185186,0.07740741,0.11000001,0.094814815,0.09925926,0.17370372,0.099259265,0.1937037,0.14962964,0.13407406,0.20703702,0.1748148,0.14185186,0.1440741,0.13703704,0.25777778,0.14592592,0.16537039,0.14592592,0.17999999,0.20037037,0.38037044,0.2961111,0.33925927,0.30074075,0.40185186,,0.4981481,0.44851854
TabFlex (default),0.03814815,0.060370374,0.046666667,0.052592594,0.06407408,0.07666667,0.14037037,0.12888889,0.09851852,0.16037036,0.12222222,0.14185186,0.19777776,0.25037038,0.05703704,0.13555557,0.1762963,0.18981482,0.25148147,0.15851851,0.17407408,0.1737037,0.14148147,0.19074075,0.3077778,0.25296295,0.30222222,0.32481486,0.45851853,0.50185186,,0.49222222
KNN (T+E),0.028888892,0.014444444,0.04814815,0.041111115,0.051111113,0.077037044,0.080370374,0.10444445,0.09074075,0.080000006,0.11685185,0.1025926,0.094444446,0.23074074,0.16037038,0.09777779,0.14407407,0.108888894,0.17462963,0.10685185,0.14925927,0.120370366,0.18185185,0.16481481,0.3214815,0.17703705,0.39259252,0.22333333,0.40740743,0.5514815,0.5077778,
