#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
41,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1270.0,+45/-43,0.069,38.64,28.25,20.548,936.75,0.016,✔️,0.0,False,CPU
42,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1266.0,+50/-45,0.102,38.99,21.74,20.762,13.51,0.31,✔️,0.0,False,GPU
43,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1262.0,+41/-46,0.073,39.32,27.81,19.658,9.33,1.116,✔️,0.0,False,GPU
44,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1260.0,+56/-60,0.105,39.45,27.08,19.983,559.38,4.079,✔️,0.0,False,CPU
45,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1246.0,+50/-50,0.061,40.65,26.78,21.322,3.27,0.015,✔️,0.0,False,CPU
46,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1228.0,+58/-53,0.064,42.1,31.28,20.789,1.24,0.11,✔️,0.0,False,CPU
47,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1226.0,+40/-38,0.056,42.31,32.2,20.49,2241.92,0.136,✔️,0.0,False,CPU
48,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1190.0,+52/-58,0.044,45.22,30.46,21.887,559.38,0.276,✔️,0.0,False,CPU
49,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1185.0,+50/-56,0.03,45.6,36.93,21.808,182.35,0.686,✔️,0.0,False,CPU
50,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1181.0,+44/-36,0.028,45.93,39.33,21.5,0.81,0.093,✔️,0.0,False,CPU
51,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1174.0,+64/-64,0.055,46.48,28.67,23.331,210.38,43.847,✔️,0.0,False,GPU
52,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1168.0,+74/-92,0.163,46.99,12.59,24.618,25373.34,3.667,✔️,0.0,False,GPU
53,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1162.0,+56/-66,0.03,47.46,36.24,22.606,182.35,0.058,✔️,0.0,False,CPU
