#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
51,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1200.0,+41/-43,0.074,45.99,35.34,19.069,2875.52,0.131,✔️,0.0,False,CPU
52,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1191.0,+49/-53,0.1,46.77,28.87,19.874,593.24,4.467,✔️,0.0,False,CPU
53,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1189.0,+44/-47,0.072,46.98,32.25,20.455,6.67,0.014,✔️,0.0,False,CPU
54,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1180.0,+31/-29,0.048,47.81,40.79,19.539,1.96,0.142,✔️,0.0,False,CPU
55,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1178.0,+40/-46,0.072,47.93,29.87,20.759,263.04,0.071,✔️,0.0,False,CPU
56,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1172.0,+50/-42,0.062,48.52,32.13,21.032,373.24,0.771,✔️,0.0,False,CPU
57,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M) [74.51% IMPUTED],1156.0,+73/-82,0.181,49.94,11.86,23.247,0.53,0.08,✔️,74.51,True,GPU
58,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori) [74.51% IMPUTED],1146.0,+73/-78,0.161,50.81,21.54,23.527,0.53,0.08,✔️,74.51,True,GPU
59,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1136.0,+49/-51,0.046,51.67,35.17,21.283,593.24,0.306,✔️,0.0,False,CPU
60,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1136.0,+48/-37,0.042,51.73,31.5,21.735,373.24,0.085,✔️,0.0,False,CPU
61,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1088.0,+45/-47,0.038,55.74,38.23,23.204,296.64,68.173,✔️,0.0,False,GPU
62,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1087.0,+71/-79,0.123,55.81,17.19,25.76,28729.74,4.268,✔️,0.0,False,GPU
63,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1086.0,+75/-78,0.121,55.89,16.36,25.776,28729.74,18.811,✔️,0.0,False,GPU
