#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
27,🧠⚡,Foundation Model,[TabPFNv2 (tuned)](https://www.nature.com/articles/s41586-024-08328-6) [25.00% IMPUTED],1334.0,+189/-146,0.244,32.0,20.98,22.917,2584.96,0.407,✔️,25.0,True,GPU,model,
28,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1321.0,+135/-107,0.179,33.06,27.53,21.623,6686.5,0.752,✔️,0.0,False,GPU,model,
29,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1317.0,+230/-153,0.283,33.38,10.89,23.544,9413.13,39.488,✔️,0.0,False,GPU,model,
30,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1316.0,+135/-158,0.206,33.5,23.12,23.299,17528.83,0.282,✔️,0.0,False,CPU,model,
31,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1311.0,+150/-154,0.17,33.88,19.05,22.823,1729.73,0.097,✔️,0.0,False,CPU,model,
32,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1310.0,+227/-259,0.318,34.0,9.3,23.556,21.85,1.702,➖,0.0,False,GPU,model,
33,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1308.0,+129/-139,0.172,34.12,21.84,22.88,1729.73,0.898,✔️,0.0,False,CPU,model,
34,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1305.0,+204/-157,0.238,34.38,17.04,25.117,14.97,0.624,✔️,0.0,False,GPU,model,
35,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1304.0,+198/-161,0.245,34.44,15.93,23.644,968.86,1.864,✔️,0.0,False,CPU,model,
36,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1291.0,+95/-105,0.179,35.5,31.88,22.329,26.32,0.254,✔️,0.0,False,CPU,model,
37,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1288.0,+204/-216,0.267,35.75,22.55,23.437,729.27,1.833,✔️,0.0,False,CPU,model,
38,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1284.0,+236/-196,0.234,36.0,6.58,23.832,2079.22,0.319,✔️,0.0,False,GPU,model,
39,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564) [12.50% IMPUTED],1284.0,+203/-169,0.204,36.06,18.45,26.249,11.51,1.948,✔️,12.5,True,GPU,model,
40,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1281.0,+152/-152,0.198,36.25,26.21,25.023,283.65,4.103,➖,0.0,False,GPU,model,
41,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1269.0,+153/-112,0.164,37.25,32.5,22.336,27893.23,206.719,✔️,0.0,False,GPU,model,
42,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1261.0,+188/-213,0.216,37.88,19.92,26.095,8.62,0.109,✔️,0.0,False,CPU,model,
43,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1253.0,+130/-177,0.186,38.5,30.98,24.717,17528.83,0.025,✔️,0.0,False,CPU,model,
44,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1250.0,+106/-142,0.131,38.75,34.45,24.767,3647.6,2.161,✔️,0.0,False,CPU,model,
45,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1234.0,+197/-172,0.164,40.06,17.59,26.524,968.86,0.284,✔️,0.0,False,CPU,model,
46,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1230.0,+126/-153,0.146,40.38,34.87,25.261,12.19,0.042,✔️,0.0,False,CPU,model,
47,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1224.0,+192/-191,0.205,40.88,29.56,24.901,729.27,0.325,✔️,0.0,False,CPU,model,
