,model,season,region_id,source,term,value
1489,MPI-ESM1-2-LR,DJF,15,dynamical,change,0.0
1490,MPI-ESM1-2-LR,DJF,15,dynamical,uncalibrated change,0.0
1491,MPI-ESM1-2-LR,DJF,15,nonlinear,bias,0.0
1492,MPI-ESM1-2-LR,DJF,15,nonlinear,change,0.0
1493,MPI-ESM1-2-LR,DJF,15,nonlinear,uncalibrated change,0.0
1494,MPI-ESM1-2-LR,DJF,16,conversion,bias,0.0
1495,MPI-ESM1-2-LR,DJF,16,conversion,change,0.0
1496,MPI-ESM1-2-LR,DJF,16,conversion,uncalibrated change,0.0
1497,MPI-ESM1-2-LR,DJF,16,dynamical,bias,0.0
1498,MPI-ESM1-2-LR,DJF,16,dynamical,change,0.0
1499,MPI-ESM1-2-LR,DJF,16,dynamical,uncalibrated change,0.0
1500,MPI-ESM1-2-LR,DJF,16,nonlinear,bias,0.0
1501,MPI-ESM1-2-LR,DJF,16,nonlinear,change,0.0
1502,MPI-ESM1-2-LR,DJF,16,nonlinear,uncalibrated change,0.0
1503,MPI-ESM1-2-LR,DJF,17,conversion,bias,0.01829247681090261
1504,MPI-ESM1-2-LR,DJF,17,conversion,change,0.025508225989399946
1505,MPI-ESM1-2-LR,DJF,17,conversion,uncalibrated change,0.03323281172523822
1506,MPI-ESM1-2-LR,DJF,17,dynamical,bias,-0.003994434157078512
1507,MPI-ESM1-2-LR,DJF,17,dynamical,change,-0.0002414794166600865
1508,MPI-ESM1-2-LR,DJF,17,dynamical,uncalibrated change,-0.00021818822642218885
1509,MPI-ESM1-2-LR,DJF,17,nonlinear,bias,-0.0005344841814879358
1510,MPI-ESM1-2-LR,DJF,17,nonlinear,change,-5.000279280572464e-05
1511,MPI-ESM1-2-LR,DJF,17,nonlinear,uncalibrated change,-1.2897996039665464e-05
1512,MPI-ESM1-2-LR,DJF,18,conversion,bias,0.011026590638208409
1513,MPI-ESM1-2-LR,DJF,18,conversion,change,0.01578359574765579
1514,MPI-ESM1-2-LR,DJF,18,conversion,uncalibrated change,0.02218194384286648
1515,MPI-ESM1-2-LR,DJF,18,dynamical,bias,0.008678248869728096
1516,MPI-ESM1-2-LR,DJF,18,dynamical,change,0.003625145164203601
1517,MPI-ESM1-2-LR,DJF,18,dynamical,uncalibrated change,0.003951543574178522
1518,MPI-ESM1-2-LR,DJF,18,nonlinear,bias,0.002060333610805115
1519,MPI-ESM1-2-LR,DJF,18,nonlinear,change,0.001188898251763256
1520,MPI-ESM1-2-LR,DJF,18,nonlinear,uncalibrated change,0.0012990558717583364
1521,MPI-ESM1-2-LR,DJF,19,conversion,bias,0.016820973523023572
1522,MPI-ESM1-2-LR,DJF,19,conversion,change,0.019646004602469604
1523,MPI-ESM1-2-LR,DJF,19,conversion,uncalibrated change,0.027676393880115256
1524,MPI-ESM1-2-LR,DJF,19,dynamical,bias,0.002392579216372158
1525,MPI-ESM1-2-LR,DJF,19,dynamical,change,-0.0012707555697884841
1526,MPI-ESM1-2-LR,DJF,19,dynamical,uncalibrated change,-0.0014465018505072289
1527,MPI-ESM1-2-LR,DJF,19,nonlinear,bias,0.0021805121329300107
1528,MPI-ESM1-2-LR,DJF,19,nonlinear,change,-0.00042111177394063315
1529,MPI-ESM1-2-LR,DJF,19,nonlinear,uncalibrated change,-0.0004708938433899875
1530,MPI-ESM1-2-LR,DJF,20,conversion,bias,0.025743062267093265
1531,MPI-ESM1-2-LR,DJF,20,conversion,change,0.01473612795926442
1532,MPI-ESM1-2-LR,DJF,20,conversion,uncalibrated change,0.027240112340245086
1533,MPI-ESM1-2-LR,DJF,20,dynamical,bias,0.007803530955749904
1534,MPI-ESM1-2-LR,DJF,20,dynamical,change,-0.0006780947546836152
1535,MPI-ESM1-2-LR,DJF,20,dynamical,uncalibrated change,-0.0006400578450988442
1536,MPI-ESM1-2-LR,DJF,20,nonlinear,bias,0.0030433777395642175
1537,MPI-ESM1-2-LR,DJF,20,nonlinear,change,6.500534215246809e-06
1538,MPI-ESM1-2-LR,DJF,20,nonlinear,uncalibrated change,9.112220733562684e-05
