window,catalog_offset,bgs_id,reference,name,length_m,year_known,precision,scan_quality,scan_url
11,1234275,18919339,SE12NE1697,"560 HUNSWORTH LANE, EAST BIERLEY BRADFORD TP1",0.8,1996,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18919339
11,1234275,18919340,SK38NW486,"FULWOOD SERVICE STATION, SHEFFIELD 1",6.8,1996,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18919340
11,1234275,18919342,SE14SW164,"ELDON TECHNOLOGY PARK, BINGLEY 1",3.9,1996,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18919342
11,1234275,18919343,SE14SW165,"ELDON TECHNOLOGY PARK, BINGLEY 2",2.5,1996,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18919343
11,1234275,18919344,NZ31NW153,"WHINFIELD ROAD, DARLINGTON 1",5.0,1996,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18919344
11,1234275,18919345,NZ31NW154,"WHINFIELD ROAD, DARLINGTON 3",5.0,1996,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18919345
11,1234275,18919346,NZ31NW155,"WHINFIELD ROAD, DARLINGTON 2",5.0,1996,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18919346
12,1357703,22360806,TL01NE216,IVY FARM WINDMILL ROAD FLAMSTEAD ST ALBANS,66.0,2025,± METRE,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/22360806
12,1357703,22360813,SU37NE55,"POUNDS FARM HOUSE, EAST GARSTON, HUNGERFORD",142.0,2026,± METRE,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/22360813
12,1357703,22360820,SU97SE106,OAKLANDS PARK WICK LANE ENGLEFIELD GREEN EGHAM,200.0,2026,± METRE,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/22360820
12,1357703,22360839,SJ13SE8,TY NEWYDD RHIWLAS OSWESTRY,60.0,2026,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/22360839
12,1357703,22360846,SJ02NW2,LLECHWEDDYGARTH LLANGYNOG POWYS,75.0,2026,± METRE,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/22360846
12,1357703,22360851,SH37NW63,TY MELYN BRYNGWRAN ANGLESEY,70.0,2026,± METRE,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/22360851
12,1357703,22360856,SH34SE17,TYN Y MYNYDD LLITHFAEN GWYNEDD,80.0,2026,± METRE,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/22360856
12,1357703,22361017,SO53NE48,CHECKLEY OLD CHAPEL CHECKLEY HEREFORD,60.0,2026,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/22361017
12,1357703,22361020,SJ37NE378,ELLESMERE PORT GOLF CLUB CHESTER RD LITTLE SUTTON ELLESMERE PORT,60.0,2026,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/22361020
12,1357703,22361025,TQ55SW170,KNOLE PARK GOLF CLUB SEAL HOLLOW ROAD SEVENOAKS,66.5,2026,± METRE,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/22361025
