#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
62,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1041.0,+95/-150,0.0,59.41,58.28,31.454,581.49,277.193,✔️,0.0,False,GPU,model,
63,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1040.0,+148/-192,0.0,59.5,53.58,33.277,42561.15,35.622,✔️,0.0,False,GPU,model,
64,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1031.0,+132/-186,0.0,59.95,55.64,33.41,42561.15,9.171,✔️,0.0,False,GPU,model,
65,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),1012.0,+104/-234,0.0,60.98,57.56,41.789,905.41,0.175,✔️,0.0,False,CPU,model,
66,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+119/-230,0.0,61.61,57.4,40.167,0.85,0.148,✔️,0.0,False,CPU,model,
67,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),992.0,+127/-216,0.0,61.99,59.32,38.033,5.99,1.009,✔️,0.0,False,CPU,model,
68,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),990.0,+152/-188,0.0,62.13,59.1,34.983,8.97,0.742,✔️,0.0,False,CPU,model,
69,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),933.0,+94/-225,0.0,64.81,56.14,52.712,1838.94,13.381,✔️,0.0,False,CPU,model,
70,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),917.0,+49/-108,0.0,65.51,65.09,39.599,5.83,1.167,➖,0.0,False,GPU,model,
71,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),916.0,+270/-411,0.051,65.57,48.48,48.597,173.46,0.147,✔️,0.0,False,CPU,model,
72,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),886.0,+99/-247,0.0,66.77,38.52,54.237,1838.94,5.572,✔️,0.0,False,CPU,model,
73,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),875.0,+112/-290,0.0,67.2,32.08,58.097,295.36,0.573,✔️,0.0,False,CPU,model,
74,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),868.0,+129/-239,0.0,67.47,65.35,41.986,801.38,8.877,✔️,0.0,False,GPU,model,
75,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),800.0,+81/-263,0.0,69.76,69.08,48.325,4.72,0.188,✔️,0.0,False,CPU,model,
76,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),424.0,+47/-283,0.0,76.09,76.07,70.151,0.57,0.067,✔️,0.0,False,CPU,model,
