#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
61,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1029.0,+130/-185,0.0,56.77,52.32,32.877,42561.15,9.171,✔️,0.0,False,GPU
62,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),1011.0,+104/-232,0.0,57.74,54.1,41.302,905.41,0.175,✔️,0.0,False,CPU
63,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+120/-230,0.0,58.32,53.73,39.73,0.85,0.148,✔️,0.0,False,CPU
64,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),993.0,+127/-223,0.0,58.67,55.8,37.607,5.99,1.009,✔️,0.0,False,CPU
65,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),989.0,+152/-185,0.003,58.9,55.63,34.441,8.97,0.742,✔️,0.0,False,CPU
66,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),932.0,+92/-224,0.0,61.64,53.48,52.323,1838.94,13.381,✔️,0.0,False,CPU
67,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),918.0,+47/-102,0.0,62.23,61.77,39.19,5.83,1.167,➖,0.0,False,GPU
68,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),909.0,+264/-401,0.057,62.61,44.2,48.283,173.46,0.147,✔️,0.0,False,CPU
69,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),885.0,+97/-246,0.0,63.63,37.39,53.881,1838.94,5.572,✔️,0.0,False,CPU
70,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),873.0,+112/-278,0.0,64.07,31.19,57.752,295.36,0.573,✔️,0.0,False,CPU
71,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),867.0,+130/-234,0.0,64.33,62.24,41.523,801.38,8.877,✔️,0.0,False,GPU
72,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),799.0,+88/-256,0.0,66.63,65.89,47.877,4.72,0.188,✔️,0.0,False,CPU
73,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),416.0,+50/-273,0.0,73.09,73.06,69.939,0.57,0.067,✔️,0.0,False,CPU
