# x_m,y_m,w_tr_right_m,w_tr_left_m
-62.874,188.743,5.93,5.92
-58.8,185.76,5.95,5.95
-54.681,182.837,5.98,5.98
-50.519,179.975,6.0,6.0
-46.315,177.172,6.02,6.02
-42.071,174.428,6.05,6.05
-37.789,171.744,6.07,6.08
-33.469,169.118,6.1,6.1
-29.114,166.551,6.12,6.12
-24.724,164.041,6.15,6.15
-20.302,161.588,6.18,6.18
-15.848,159.192,6.2,6.2
-11.363,156.852,6.23,6.22
-6.849,154.569,6.25,6.25
-2.307,152.34,6.33,6.33
2.262,150.167,6.41,6.41
6.856,148.047,6.49,6.49
11.475,145.98,6.57,6.57
16.117,143.965,6.65,6.65
20.781,142.002,6.72,6.72
25.466,140.088,6.8,6.8
30.171,138.225,6.88,6.88
34.902,136.429,6.98,6.94
39.658,134.701,7.1,6.98
44.438,133.043,7.04,7.0
49.241,131.456,7.01,6.99
54.065,129.939,7.0,7.0
58.904,128.472,7.0,7.0
63.756,127.054,7.0,7.0
68.62,125.68,7.0,7.0
73.496,124.351,7.0,7.0
78.384,123.066,7.0,7.0
83.282,121.824,7.0,7.0
88.19,120.626,7.0,7.0
93.108,119.47,7.0,7.0
98.036,118.357,7.0,7.0
102.972,117.287,7.0,7.0
107.916,116.258,7.0,7.0
112.844,115.143,6.87,7.13
117.787,114.098,6.77,7.23
122.745,113.134,6.71,5.99
127.75,112.436,6.88,6.12
132.766,111.829,7.1,6.3
137.829,111.548,6.41,6.89
143.079,112.614,7.44,4.76
148.312,113.763,8.91,4.09
153.477,114.618,9.64,15.26
158.605,115.354,11.61,15.29
163.695,115.932,12.48,12.72
168.617,115.107,12.1,11.8
173.53,114.139,10.84,11.06
178.453,113.207,10.28,10.42
183.35,111.873,9.28,10.22
188.255,110.473,8.28,10.12
193.175,109.088,11.76,10.14
198.109,107.688,10.99,10.11
203.058,106.282,10.08,10.22
208.057,105.589,10.25,9.75
213.069,105.06,12.35,10.95
218.087,104.61,10.5,10.91
223.112,104.24,10.89,11.62
228.141,103.967,10.99,11.26
233.169,103.513,10.88,10.82
238.202,103.067,10.75,10.61
243.24,102.684,10.64,10.36
248.282,102.364,10.57,10.59
253.328,102.055,10.47,10.73
258.378,101.802,10.4,10.55
263.43,101.599,10.34,10.06
268.483,101.456,10.29,9.93
273.537,101.404,10.3,10.21
278.588,101.472,10.4,10.4
283.637,101.617,10.54,10.54
288.685,101.792,10.68,10.68
293.732,101.998,10.82,10.82
298.777,102.233,10.97,10.97
303.837,102.223,10.83,11.38
308.889,102.346,10.81,11.69
313.936,102.53,9.2,7.6
318.962,102.944,9.09,8.41
323.999,103.216,8.42,8.28
329.006,103.788,8.13,9.67
334.011,104.339,8.5,8.1
339.019,104.828,8.29,7.81
344.031,105.253,7.9,8.1
349.02,105.872,7.89,7.31
354.0,106.533,7.71,7.99
358.967,107.284,7.91,7.79
363.912,108.204,8.07,7.43
368.895,108.755,8.05,8.75
373.863,109.411,7.93,9.47
378.836,109.992,8.43,7.27
383.824,110.438,8.29,8.41
388.825,110.737,8.1,8.2
393.767,111.522,8.1,7.7
398.729,112.108,7.9,7.0
403.662,112.919,8.33,9.17
408.598,113.686,9.52,8.98
413.508,114.666,9.03,9.37
