station_shell_m,station_new_m,lat,lon,w_left_m,w_right_m,width_m,centerline_shift_m
565.0,567.0796995789814,25.49290224185775,51.44753137099144,7.160000000000101,6.640000000000095,13.800000000000196,2.8400000000004666
570.0,572.2750742935972,25.492948277986624,51.44754122901126,7.120000000000101,6.480000000000092,13.600000000000191,2.180000000000457
575.0,577.4357339398308,25.492993263062985,51.44755456008151,6.9200000000000985,7.880000000000112,14.80000000000021,1.4800000000004474
580.0,582.5646763084535,25.493036822749943,51.44757183990335,7.420000000000106,7.180000000000102,14.600000000000207,0.680000000000436
585.0,587.6483157026905,25.493078824330222,51.44759220185469,6.550000000000093,6.250000000000089,12.800000000000182,-0.1499999999995758
590.0,592.6670141619046,25.4931194891471,51.447614197978005,7.270000000000103,7.330000000000104,14.600000000000207,-0.869999999999586
595.0,597.6593922744162,25.493157780871226,51.44764037298303,7.160000000000101,6.940000000000099,14.1000000000002,-1.7599999999995988
600.0,602.5929542249784,25.49319364021795,51.44766946352175,7.100000000000101,6.900000000000098,14.0000000000002,-2.6999999999996125
605.0,607.4648943362528,25.49322629362226,51.44770191403244,6.9600000000000986,6.740000000000098,13.700000000000196,-3.759999999999627
610.0,612.2254081696124,25.49325583504445,51.44773629085048,7.0000000000001,6.8000000000000975,13.800000000000198,-4.799999999999643
615.0,616.8483629750802,25.493281964889167,51.44777213214496,6.490000000000093,7.310000000000103,13.800000000000196,-5.789999999999656
620.0,621.2984626137714,25.49330488869609,51.44780846893006,6.5300000000000935,6.9700000000001,13.500000000000194,-6.629999999999669
625.0,625.574444560908,25.49332421869431,51.44784527103294,6.340000000000091,6.760000000000095,13.100000000000186,-7.339999999999679
630.0,629.6755429651784,25.49334160193261,51.44788127477103,6.490000000000093,6.810000000000096,13.300000000000187,-7.689999999999683
635.0,633.7238676506079,25.493355536523616,51.44791848763956,6.220000000000089,6.880000000000098,13.100000000000186,-7.919999999999686
640.0,637.8255218491163,25.493367292236957,51.44795716180742,6.3400000000000905,6.360000000000088,12.70000000000018,-7.939999999999687
645.0,642.0331924216379,25.493376256373374,51.44799781858374,6.37000000000009,6.630000000000095,13.000000000000185,-7.869999999999685
650.0,646.3632423005997,25.493384010989743,51.44804001829303,6.4600000000000914,6.640000000000095,13.100000000000186,-7.559999999999681
655.0,650.7932858142142,25.49338818951876,51.44808382699817,6.400000000000091,6.800000000000097,13.200000000000188,-7.299999999999677
660.0,655.3097479885748,25.49338981220627,51.44812870055169,6.500000000000092,5.900000000000082,12.400000000000174,-6.999999999999673
665.0,659.895971553949,25.493388825673428,51.44817429040892,6.690000000000095,6.610000000000096,13.30000000000019,-6.689999999999668
670.0,664.5364320036276,25.493385251391278,51.44822026423304,6.490000000000092,6.710000000000096,13.200000000000188,-6.389999999999664
675.0,669.2078344952677,25.49337786163984,51.44826599519348,6.9600000000000986,6.640000000000093,13.600000000000191,-6.259999999999662
680.0,673.9023294825906,25.493367900685385,51.44831136669459,6.980000000000098,6.620000000000095,13.600000000000191,-6.17999999999966
685.0,678.6095948334706,25.493355081159084,51.44835599212184,7.000000000000099,6.700000000000094,13.700000000000191,-6.199999999999661
690.0,683.3228728129643,25.4933388591278,51.44839931797379,7.0000000000001,6.700000000000095,13.700000000000196,-6.399999999999665
695.0,688.035476010752,25.49332036887037,51.44844151944535,6.9600000000000986,6.840000000000098,13.800000000000196,-6.659999999999668
700.0,692.7504087149512,25.49329955271089,51.4484824120399,6.800000000000097,7.0000000000001,13.800000000000196,-6.999999999999673
705.0,697.458912717727,25.493278679675257,51.44852319607476,6.850000000000098,7.150000000000099,14.000000000000195,-7.149999999999676
710.0,702.17788064317,25.493256511552,51.448563264196295,5.470000000000077,6.430000000000092,11.900000000000167,-7.269999999999676
715.0,706.9160338076687,25.493234801917662,51.44860385734415,5.940000000000085,5.66000000000008,11.600000000000165,-7.139999999999676
720.0,711.6842899000429,25.49321242415289,51.44864435865538,5.410000000000077,5.990000000000083,11.40000000000016,-6.909999999999672
725.0,716.4950061967864,25.4931900256282,51.44868533965067,6.200000000000088,6.100000000000087,12.300000000000177,-6.499999999999666
730.0,721.3383547441165,25.493166444424567,51.4487258934039,5.6800000000000805,5.820000000000085,11.500000000000163,-6.07999999999966
735.0,726.2334747873812,25.4931430563296,51.4487671906346,5.470000000000078,5.930000000000084,11.400000000000162,-5.469999999999652
740.0,731.1751731555706,25.49311937609793,51.448808832897846,5.550000000000079,5.850000000000083,11.400000000000162,-4.749999999999641
745.0,736.1501794855504,25.493094969842883,51.44885035848435,5.500000000000078,5.800000000000081,11.30000000000016,-3.9999999999996314
750.0,741.1561727906445,25.493070037250583,51.44889187285824,6.010000000000085,5.290000000000076,11.30000000000016,-3.2099999999996194
755.0,746.1825615777635,25.493044449141404,51.44893314621526,5.720000000000081,5.680000000000081,11.400000000000162,-2.419999999999608
760.0,751.2199076315208,25.49301815216755,51.448974008972726,5.960000000000084,6.140000000000086,12.100000000000172,-1.6599999999995974
765.0,756.2461714671059,25.49299045324054,51.44901359287131,6.4600000000000914,6.240000000000089,12.70000000000018,-1.0599999999995888
770.0,761.2810995537757,25.49296265051777,51.44905319733864,6.840000000000098,6.660000000000094,13.500000000000192,-0.4399999999995798
775.0,766.3044959983149,25.492933909223936,51.449091832176016,7.450000000000106,7.250000000000103,14.700000000000207,0.050000000000427
