distance_km,grade_pct,zone_type,stop_event,v_kmh,active_motor,motor_phase
1.307,0.6361386138613856,straight,False,29.549658620472776,BG 42x30 dCore,cruise
1.308,0.6485148514851513,straight,False,29.542625476787876,BG 42x30 dCore,cruise
1.309,0.6608910891089126,straight,False,29.535077155818065,BG 42x30 dCore,cruise
1.31,0.6757425742574297,straight,False,29.527002168307302,BG 42x30 dCore,cruise
1.311,0.6881188118811954,straight,False,29.51827956171702,BG 42x30 dCore,cruise
1.312,0.7004950495049567,straight,False,29.509025958809726,BG 42x30 dCore,cruise
1.313,0.712871287128718,straight,False,29.499247396594473,BG 42x30 dCore,cruise
1.314,0.7252475247524792,straight,False,29.488950449724985,BG 42x30 dCore,cruise
1.315,0.7376237623762405,turn,False,29.47809042842441,BG 42x30 dCore,cruise
1.316,0.7500000000000018,turn,False,29.46143178591857,BG 42x30 dCore,cruise
1.317,0.7623762376237675,turn,False,29.444266788475975,BG 42x30 dCore,cruise
1.318,0.7747524752475243,turn,False,29.426589478535703,BG 42x30 dCore,cruise
1.319,0.7846534653465344,turn,False,29.408382107745,BG 42x30 dCore,cruise
1.32,0.7945544554455443,turn,False,29.38976723460871,BG 42x30 dCore,cruise
1.321,0.8044554455445585,turn,False,29.370756775659554,BG 42x30 dCore,cruise
1.322,0.8143564356435684,turn,False,29.351339131393235,BG 42x30 dCore,cruise
1.323,0.8242574257425828,turn,False,29.33146179139187,BG 42x30 dCore,cruise
1.324,0.8341584158415882,turn,False,29.311177552688733,BG 42x30 dCore,cruise
1.325,0.8440594059405981,turn,False,29.29048922117848,BG 42x30 dCore,cruise
1.326,0.853960396039608,turn,False,29.26940975224286,BG 42x30 dCore,cruise
1.327,0.8638613861386224,turn,False,29.247857209470308,BG 42x30 dCore,cruise
1.328,0.8688118811881206,turn,False,29.2259139010614,BG 42x30 dCore,cruise
1.329,0.8737623762376235,turn,False,29.20378614046448,BG 42x30 dCore,cruise
1.33,0.8787128712871262,turn,False,29.181463535944008,BG 42x30 dCore,cruise
1.331,0.8836633663366334,turn,False,29.158888677755293,BG 42x30 dCore,cruise
1.332,0.8861386138613804,turn,False,29.136122987661633,BG 42x30 dCore,cruise
1.333,0.8886138613861361,turn,False,29.113290917933117,BG 42x30 dCore,cruise
1.334,0.8910891089108919,turn,False,29.090378765399233,BG 42x30 dCore,cruise
1.335,0.8886138613861404,turn,False,29.06733728061845,BG 42x30 dCore,cruise
1.336,0.8861386138613891,turn,False,29.04442987927986,BG 42x30 dCore,cruise
1.337,0.8836633663366378,turn,False,29.02167588569735,BG 42x30 dCore,cruise
1.338,0.8762376237623836,turn,False,28.999046424765915,BG 42x30 dCore,cruise
1.339,0.8688118811881297,turn,False,28.976689786252106,BG 42x30 dCore,cruise
1.34,0.861386138613871,turn,False,28.954694373086838,BG 42x30 dCore,cruise
1.341,0.8539603960396168,turn,False,28.933067325788834,BG 42x30 dCore,cruise
1.342,0.8415841584158557,turn,False,28.91178461632894,BG 42x30 dCore,cruise
1.343,0.8292079207920944,turn,False,28.891018134546837,BG 42x30 dCore,cruise
1.344,0.8168316831683241,turn,False,28.87083540361014,BG 42x30 dCore,cruise
1.345,0.8019801980198116,turn,False,28.85123162354985,BG 42x30 dCore,cruise
1.346,0.78712871287129,turn,False,28.83230852083302,BG 42x30 dCore,cruise
1.347,0.769801980198026,turn,False,28.813987112894814,BG 42x30 dCore,cruise
1.348,0.7500000000000062,turn,False,28.79646506808708,BG 42x30 dCore,cruise
1.349,0.727722772277235,turn,False,28.77984876774778,BG 42x30 dCore,cruise
1.35,0.702970297029708,turn,False,28.764229706552854,BG 42x30 dCore,cruise
1.351,0.6782178217821766,turn,False,28.749664181910536,BG 42x30 dCore,cruise
1.352,0.6509900990099027,turn,False,28.736221157861245,BG 42x30 dCore,cruise
1.353,0.6237623762376243,turn,False,28.72401158137302,BG 42x30 dCore,cruise
1.354,0.596534653465346,turn,False,28.71302158603423,BG 42x30 dCore,cruise
1.355,0.5693069306930676,turn,False,28.703173827434405,BG 42x30 dCore,cruise
1.356,0.5396039603960379,turn,False,28.69456278105448,BG 42x30 dCore,cruise
1.357,0.5099009900990081,turn,False,28.68727608333573,BG 42x30 dCore,cruise
1.358,0.4801980198019829,turn,False,28.68132167730041,BG 42x30 dCore,cruise
1.359,0.4504950495049486,turn,False,28.676576511296293,BG 42x30 dCore,cruise
1.36,0.4207920792079189,turn,False,28.673159008534416,BG 42x30 dCore,cruise
1.361,0.39108910891088916,turn,False,28.671066448669595,BG 42x30 dCore,cruise
1.362,0.3613861386138639,turn,False,28.67029593179138,BG 42x30 dCore,cruise
1.363,0.33168316831682976,turn,False,28.67072947341117,BG 42x30 dCore,cruise
1.364,0.29950495049504866,turn,False,28.672470981269957,BG 42x30 dCore,cruise
1.365,0.26732673267326756,turn,False,28.675634837048506,BG 42x30 dCore,cruise
1.366,0.2351485148514865,turn,False,28.680217138421515,BG 42x30 dCore,cruise
1.367,0.20297029702970093,turn,False,28.686117711377854,BG 42x30 dCore,cruise
1.368,0.17326732673268008,turn,False,28.693399527124715,BG 42x30 dCore,cruise
1.369,0.14356435643565035,turn,False,28.70197760918303,BG 42x30 dCore,cruise
1.37,0.11386138613862506,turn,False,28.711847670014905,BG 42x30 dCore,cruise
1.371,0.08415841584159534,turn,False,28.72295346347055,BG 42x30 dCore,cruise
1.372,0.054455445544570054,turn,False,28.73532136868291,BG 42x30 dCore,cruise
1.373,0.024752475247535877,turn,False,28.748961494551544,BG 42x30 dCore,cruise
1.374,-0.007425742574249662,turn,False,28.763872995862847,BG 42x30 dCore,cruise
1.375,-0.034653465346532464,turn,False,28.780099350884562,BG 42x30 dCore,cruise
1.376,-0.06188118811881527,turn,False,28.79739891907989,BG 42x30 dCore,cruise
1.377,-0.08910891089109363,turn,False,28.815856280836503,BG 42x30 dCore,cruise
1.378,-0.11386138613862506,turn,False,28.835447309129847,BG 42x30 dCore,cruise
1.379,-0.13861386138615206,turn,False,28.856051396803206,BG 42x30 dCore,cruise
1.38,-0.16584158415843042,turn,False,28.87764462460619,BG 42x30 dCore,cruise
1.381,-0.19306930693071322,turn,False,28.900359081241447,BG 42x30 dCore,cruise
1.382,-0.21782178217823134,turn,False,28.924196088684614,BG 42x30 dCore,cruise
1.383,-0.2425742574257583,turn,False,28.94903487746121,BG 42x30 dCore,cruise
1.384,-0.267326732673272,turn,False,28.97474199645386,BG 42x30 dCore,cruise
1.385,-0.29207920792079456,turn,False,29.00143925759085,BG 42x30 dCore,cruise
1.386,-0.31683168316831267,turn,False,29.029141198498813,BG 42x30 dCore,cruise
1.387,-0.34158415841583967,turn,False,29.057833770545436,BG 42x30 dCore,cruise
1.388,-0.36633663366336666,turn,False,29.08744577881815,BG 42x30 dCore,cruise
1.389,-0.39108910891088916,turn,False,29.11802023065491,BG 42x30 dCore,cruise
1.39,-0.41584158415841177,turn,False,29.14956972725239,BG 42x30 dCore,cruise
1.391,-0.4430693069306902,turn,False,29.182097816090206,BG 42x30 dCore,cruise
1.392,-0.4678217821782215,turn,False,29.215633022783738,BG 42x30 dCore,cruise
1.393,-0.49504950495049993,turn,False,29.25008680967949,BG 42x30 dCore,cruise
1.394,-0.5222772277227827,turn,False,29.285593666357407,BG 42x30 dCore,cruise
1.395,-0.5495049504950655,turn,False,29.322162006609464,BG 42x30 dCore,cruise
1.396,-0.576732673267335,turn,False,29.35974174002291,BG 42x30 dCore,cruise
1.397,-0.6039603960396089,turn,False,29.398293734958006,BG 42x30 dCore,cruise
1.398,-0.6311881188118917,turn,False,29.43788278744812,BG 42x30 dCore,cruise
1.399,-0.6633663366336684,turn,False,29.478500725441396,BG 42x30 dCore,cruise
1.4,-0.695544554455445,turn,False,29.520344994746246,BG 42x30 dCore,cruise
1.401,-0.7277227722772306,turn,False,29.563320733523984,BG 42x30 dCore,cruise
1.402,-0.7623762376237675,turn,False,29.60751473824162,BG 42x30 dCore,cruise
1.403,-0.7970297029703,turn,False,29.653018823468603,BG 42x30 dCore,cruise
1.404,-0.8292079207920855,turn,False,29.69983955374737,BG 42x30 dCore,cruise
1.405,-0.8638613861386267,turn,False,29.74780747456267,BG 42x30 dCore,cruise
1.406,-0.8985148514851637,turn,False,29.797037052439656,BG 42x30 dCore,cruise
1.407,-0.9356435643564476,turn,False,29.847548989974648,BG 42x30 dCore,cruise
1.408,-0.9727722772277357,turn,False,29.899439254232114,BG 42x30 dCore,cruise
1.409,-1.0099009900990197,turn,False,29.95267730434419,BG 42x30 dCore,cruise
1.41,-1.0495049504950549,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.411,-1.0915841584158459,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.412,-1.1311881188118855,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.413,-1.1732673267326765,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.414,-1.2128712871287162,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.415,-1.2524752475247558,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.416,-1.2945544554455468,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.417,-1.3366336633663378,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.418,-1.3787128712871288,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.419,-1.4232673267326712,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.42,-1.4653465346534578,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.421,-1.5099009900989957,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.422,-1.5519801980197867,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.423,-1.5940594059405777,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.424,-1.638613861386129,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.425,-1.6806930693069286,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.426,-1.7227722772277243,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.427,-1.767326732673271,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.428,-1.8094059405940666,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.429,-1.8465346534653548,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.43,-1.8861386138613945,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.431,-1.9232673267326785,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.432,-1.9603960396039621,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.433,-1.9950495049504948,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.434,-2.0297029702970226,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.435,-2.0643564356435506,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.436,-2.0965346534653406,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.437,-2.1287128712871306,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.438,-2.160891089108916,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.439,-2.1856435643564476,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.44,-2.210396039603979,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.441,-2.2351485148515016,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.442,-2.2574257425742728,turn,False,30.000000000000004,BG 42x30 dCore,cruise
1.443,-2.2772277227722926,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.444,-2.297029702970308,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.445,-2.314356435643572,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.446,-2.3292079207920846,straight,False,30.000000000000004,BG 42x30 dCore,cruise
1.447,-2.3415841584158503,straight,False,30.000000000000004,BG 42x30 dCore,cruise
