,TabFM (default),TabFM+,"AutoGluon 1.6 (noncommercial, 4h)",EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)",TabPFN-3 (default),"AutoGluon 1.5 (extreme, 4h)",TabICLv2 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),Mitra (default),TabPFNv2 (T+E),LimiX (default),TabDPT-Turbo (default),TabICL (default),RealMLP (T+E),TabM (T+E),"AutoGluon 1.4 (best, 4h)",TabDPT (T+E),BetaTabPFN (default),TabSwift (default),LightGBM (T+E),iLTM (T+E),SAP-RPT-OSS (default),CatBoost (T+E),ChimeraBoost (T+E),xRFM (T+E),ModernNCA (T+E),XGBoost (T+E),EBM (T+E),TorchMLP (T+E),FastaiMLP (T+E),TabSTAR (T+E),OrionMSP (default),ExtraTrees (T+E),PerpetualBooster (T+E),RandomForest (T+E),TabFlex (default),Linear (T+E),KNN (T+E)
TabSwift (default),0.13015874,0.13386244,0.13915345,0.15978836,0.14497356,0.14232805,0.23174602,0.1910053,0.27195767,0.3095238,0.34391534,0.3857143,0.40899467,0.31984127,0.38677242,0.50476193,0.45449734,0.48756614,0.4600529,0.46296293,,0.5343915,0.59365076,0.6201058,0.568254,0.5312169,0.64074075,0.5862434,0.59576714,0.64603174,0.6719577,0.77513224,0.7851852,0.82169306,0.7867725,0.8201058,0.810053,0.91851854,0.88253963,0.8714286
LightGBM (T+E),0.07936508,0.09312171,0.06984127,0.11904763,0.10820107,0.14814816,0.13015874,0.20423283,0.1809524,0.17195769,0.33121696,0.334127,0.31851852,0.37830693,0.36031747,0.32222223,0.352381,0.33915344,0.4571429,0.3925926,0.46560845,,0.5230159,0.5428571,0.5984127,0.5359788,0.60476196,0.5656085,0.7439153,0.65000004,0.62804246,0.6814815,0.70846564,0.70582014,0.7690476,0.867725,0.842328,0.7708995,0.86878306,0.89629626
iLTM (T+E),0.09629631,0.0867725,0.079100534,0.114814825,0.10793652,0.111640215,0.12222223,0.17248677,0.13862434,0.17645504,0.2997355,0.31375661,0.2224868,0.35026458,0.28862435,0.26560846,0.33571428,0.34074077,0.37989417,0.41216937,0.40634918,0.47698408,,0.5238095,0.49894178,0.52275133,0.60132277,0.5328043,0.57222223,0.5851852,0.61746037,0.6957672,0.6595238,0.68650794,0.7219577,0.8518519,0.81058204,0.79735446,0.7915343,0.8587302
SAP-RPT-OSS (default),0.11375662,0.12486772,0.12989418,0.10687832,0.14550264,0.14497356,0.1957672,0.2084656,0.18042329,0.20396826,0.25449738,0.32566136,0.24973547,0.34444448,0.29153442,0.37407413,0.362963,0.41746035,0.35343918,0.38783067,0.3798942,0.4571429,0.47619048,,0.4301587,0.44550264,0.5650794,0.5010582,0.5460317,0.55714285,0.621164,0.6714286,0.6301588,0.6396825,0.678836,0.7444445,0.73201054,0.8137566,0.83280426,0.7931217
CatBoost (T+E),0.06137567,0.06507937,0.06878307,0.06772487,0.105291,0.10899472,0.12380953,0.16402116,0.13121694,0.15291007,0.2693122,0.31005293,0.2830688,0.31957674,0.3116402,0.25873017,0.32539684,0.2883598,0.39047623,0.41640213,0.43174604,0.40158734,0.5010582,0.56984127,,0.50634915,0.5619048,0.52380955,0.54999995,0.57513225,0.62063485,0.66772485,0.6899471,0.6169312,0.7412698,0.80846566,0.82380956,0.7227513,0.81375664,0.8703704
ChimeraBoost (T+E),0.0846561,0.08465609,0.065608464,0.053968254,0.0952381,0.085185185,0.12645504,0.16455027,0.13968255,0.13306879,0.22539684,0.22380954,0.1957672,0.31904766,0.29682538,0.31269842,0.33703703,0.33121696,0.36931217,0.37777779,0.46878302,0.46402118,0.4772487,0.5544974,0.49365085,,0.5026456,0.55185187,0.5910053,0.5888889,0.58465606,0.59312177,0.70582014,0.65343916,0.6666667,0.7502646,0.7380953,0.7412699,0.79894185,0.8161376
xRFM (T+E),0.07301588,0.073015876,0.060317464,0.071428575,0.06984128,0.09047619,0.12592593,0.14338627,0.13650794,0.14179894,0.26825398,0.23492064,0.27777782,0.30687833,0.24708998,0.2693122,0.35502645,0.3462963,0.33571428,0.35343918,0.35925928,0.39523807,0.39867723,0.43492058,0.43809518,0.49735442,,0.49788362,0.45476192,0.5486772,0.51693124,0.602381,0.5857142,0.647619,0.6661376,0.7285714,0.77037036,0.78412694,0.8021165,0.8632275
ModernNCA (T+E),0.07724868,0.062962964,0.091005296,0.06613757,0.11375662,0.11640211,0.096825406,0.15291007,0.095238104,0.15978837,0.25873017,0.21957675,0.26243386,0.35343912,0.2804233,0.34444448,0.33068785,0.3767196,0.33862433,0.41111112,0.41375664,0.43439153,0.46719575,0.49894175,0.47619048,0.4481482,0.5021165,,0.5412698,0.57566136,0.5391534,0.56031746,0.60052913,0.5587302,0.63968253,0.6899471,0.6851852,0.6724867,0.67936504,0.75582016
XGBoost (T+E),0.045502648,0.04761905,0.04232804,0.06931217,0.07513227,0.09126985,0.1037037,0.14074075,0.14074075,0.13439155,0.24470901,0.25846565,0.25132278,0.30476195,0.25026453,0.22486773,0.26984128,0.24285716,0.3928572,0.33544976,0.4042328,0.25608468,0.42777783,0.4539683,0.45,0.40899473,0.5452382,0.45873025,,0.5015873,0.5579365,0.60105824,0.6640212,0.6145503,0.7031746,0.7486773,0.8166667,0.72883594,0.80423284,0.84973544
EBM (T+E),0.08783069,0.0899471,0.077248685,0.085185185,0.07777778,0.10000001,0.14285715,0.14550266,0.15026456,0.15291007,0.16190477,0.20661375,0.21481483,0.28941798,0.2761905,0.25978836,0.22539684,0.315873,0.31666666,0.2703704,0.35396826,0.35000002,0.4148148,0.44285715,0.42486772,0.41111112,0.4513228,0.4243386,0.49841273,,0.5068783,0.5441799,0.63703704,0.6354497,0.6875661,0.69947094,0.72169316,0.7624338,0.8391534,0.8703704
