,TabFM (default),TabPFN-3 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),TabICLv2 (default),EXAONE-Tabular (default),RealMLP (T+E),TabDPT (T+E),TabDPT-Turbo (default),TabM (T+E),LightGBM (T+E),iLTM (T+E),CatBoost (T+E),ModernNCA (T+E),LimiX (default),XGBoost (T+E),TabSwift (default),xRFM (T+E),TabPFNv2 (T+E),ChimeraBoost (T+E),Mitra (default),TabICL (default),EBM (T+E),TorchMLP (T+E),BetaTabPFN (default),SAP-RPT-OSS (default),ExtraTrees (T+E),Nori-30M (default),RandomForest (T+E),Nori (default),FastaiMLP (T+E),TabSTAR (T+E),PerpetualBooster (T+E),OrionMSP (default),TabFlex (default),KNN (T+E),Linear (T+E)
TabFM (default),,0.8039216,0.84313726,0.8627451,0.88235295,0.78431374,0.8627451,0.9019608,0.9411765,0.9411765,0.9411765,0.8627451,0.9411765,0.88235295,0.9019608,0.92156863,0.88235295,0.9411765,0.9607843,0.92156863,1.0,0.9411765,0.9411765,0.9607843,0.9607843,0.92156863,0.9607843,0.9411765,0.9607843,0.9607843,0.92156863,0.92156863,1.0,0.98039216,1.0,0.9411765,0.98039216
TabPFN-3 (default),0.19607843,,0.5686275,0.5588235,0.627451,0.49019608,0.74509805,0.7058824,0.84313726,0.84313726,0.88235295,0.84313726,0.8039216,0.9019608,0.7647059,0.8627451,0.88235295,0.8627451,0.8235294,0.88235295,0.88235295,0.92156863,0.8235294,0.9019608,0.9411765,0.84313726,0.9607843,0.88235295,0.9411765,0.9019608,0.9019608,0.9019608,0.9607843,1.0,0.9607843,0.9607843,0.9607843
TabPFN-2.6 (default),0.15686275,0.43137255,,0.47058824,0.50980395,0.3529412,0.7254902,0.7058824,0.7647059,0.78431374,0.88235295,0.84313726,0.84313726,0.8627451,0.8039216,0.8235294,0.8235294,0.84313726,0.8039216,0.8627451,0.9019608,0.9019608,0.9019608,0.92156863,0.88235295,0.8627451,0.9411765,0.8235294,0.9607843,0.8627451,0.92156863,0.88235295,0.98039216,0.98039216,0.9411765,0.98039216,0.98039216
RealTabPFN-2.5 (T+E),0.13725491,0.44117647,0.5294118,,0.54901963,0.39215687,0.74509805,0.6666667,0.7058824,0.7254902,0.84313726,0.78431374,0.8627451,0.7647059,0.74509805,0.8627451,0.8235294,0.84313726,0.8627451,0.84313726,0.88235295,0.8039216,0.88235295,0.8627451,0.9019608,0.88235295,0.9411765,0.84313726,0.92156863,0.88235295,0.88235295,0.88235295,0.9607843,0.98039216,0.92156863,0.9411765,0.9411765
TabICLv2 (default),0.11764706,0.37254903,0.49019608,0.4509804,,0.43137255,0.6666667,0.7254902,0.7647059,0.7254902,0.8235294,0.78431374,0.7647059,0.8235294,0.74509805,0.78431374,0.8235294,0.78431374,0.74509805,0.8235294,0.8039216,0.8235294,0.78431374,0.8627451,0.9019608,0.8235294,0.88235295,0.8039216,0.88235295,0.8039216,0.9411765,0.9019608,0.92156863,0.92156863,0.9607843,0.9607843,0.9607843
EXAONE-Tabular (default),0.21568628,0.50980395,0.64705884,0.60784316,0.5686275,,0.64705884,0.64705884,0.627451,0.6666667,0.7058824,0.6862745,0.7254902,0.7058824,0.6862745,0.7058824,0.7058824,0.7058824,0.7745098,0.7254902,0.74509805,0.8333333,0.8039216,0.7647059,0.85294116,0.7647059,0.7254902,0.7254902,0.74509805,0.7254902,0.78431374,0.84313726,0.8039216,0.85294116,0.8333333,0.9411765,0.98039216
RealMLP (T+E),0.13725491,0.25490198,0.27450982,0.25490198,0.33333334,0.3529412,,0.50980395,0.5882353,0.627451,0.7058824,0.74509805,0.78431374,0.64705884,0.5686275,0.7647059,0.6666667,0.74509805,0.5882353,0.7058824,0.6666667,0.7058824,0.8039216,0.84313726,0.78431374,0.8039216,0.8627451,0.7647059,0.84313726,0.78431374,0.92156863,0.84313726,0.9607843,0.9607843,0.92156863,0.9607843,0.98039216
TabDPT (T+E),0.09803922,0.29411766,0.29411766,0.33333334,0.27450982,0.3529412,0.49019608,,0.49019608,0.5294118,0.5882353,0.64705884,0.5882353,0.5294118,0.627451,0.627451,0.627451,0.6666667,0.627451,0.627451,0.6862745,0.5882353,0.64705884,0.74509805,0.6666667,0.7254902,0.78431374,0.8235294,0.78431374,0.8235294,0.74509805,0.78431374,0.84313726,0.9607843,0.9411765,0.92156863,0.9019608
TabDPT-Turbo (default),0.05882353,0.15686275,0.23529412,0.29411766,0.23529412,0.37254903,0.4117647,0.50980395,,0.47058824,0.54901963,0.60784316,0.5882353,0.50980395,0.60784316,0.6666667,0.6960784,0.6666667,0.627451,0.6666667,0.6666667,0.627451,0.6666667,0.74509805,0.64705884,0.7058824,0.8235294,0.7058824,0.8235294,0.7647059,0.78431374,0.78431374,0.84313726,0.9411765,0.9607843,0.9411765,0.88235295
TabM (T+E),0.05882353,0.15686275,0.21568628,0.27450982,0.27450982,0.33333334,0.37254903,0.47058824,0.5294118,,0.5882353,0.5294118,0.54901963,0.54901963,0.49019608,0.5882353,0.5882353,0.5686275,0.5294118,0.60784316,0.50980395,0.7058824,0.78431374,0.74509805,0.7647059,0.7058824,0.74509805,0.627451,0.8039216,0.6666667,0.8235294,0.8627451,0.84313726,0.9019608,0.9411765,0.9019608,0.9607843
LightGBM (T+E),0.05882353,0.11764706,0.11764706,0.15686275,0.1764706,0.29411766,0.29411766,0.4117647,0.4509804,0.4117647,,0.50980395,0.5686275,0.47058824,0.4509804,0.5686275,0.54901963,0.5882353,0.50980395,0.64705884,0.5294118,0.64705884,0.74509805,0.7647059,0.6666667,0.6666667,0.84313726,0.74509805,0.8627451,0.7647059,0.8235294,0.8235294,0.9019608,0.88235295,0.9019608,0.9411765,0.98039216
