#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
45,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1212.0,+43/-40,0.06,41.38,28.38,23.13,14.89,4.432,✔️,0.0,False,GPU
46,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1203.0,+78/-72,0.096,42.15,26.0,24.166,703.03,1.431,✔️,0.0,False,CPU
47,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1200.0,+45/-58,0.074,42.47,30.67,23.55,2977.91,0.156,✔️,0.0,False,CPU
48,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1191.0,+56/-54,0.068,43.16,26.19,23.892,1424.22,0.749,✔️,0.0,False,CPU
49,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1179.0,+85/-73,0.089,44.14,23.69,24.993,703.03,0.184,✔️,0.0,False,CPU
50,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1176.0,+40/-46,0.025,44.45,37.75,23.716,2.8,0.238,✔️,0.0,False,CPU
51,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1163.0,+51/-50,0.058,45.47,36.35,24.028,3.15,0.141,✔️,0.0,False,CPU
52,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),1155.0,+66/-75,0.101,46.15,30.63,26.066,15.45,2.611,➖,0.0,False,GPU
53,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1149.0,+95/-106,0.175,46.59,11.92,26.211,40588.15,5.606,✔️,0.0,False,GPU
54,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1149.0,+76/-88,0.082,46.6,26.15,25.694,571.73,1.389,✔️,0.0,False,CPU
