#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
21,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),16510.0,+0/-0,0.39,22.0,22.0,15.482,61.47,0.015,✔️,0.0,False,CPU,model,
22,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),15822.0,+0/-0,0.384,23.0,23.0,15.611,6601.46,0.012,✔️,0.0,False,CPU,model,
23,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),15150.0,+0/-0,0.375,24.0,24.0,15.804,1261.24,0.234,✔️,0.0,False,CPU,model,
24,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),14503.0,+0/-0,0.366,25.0,25.0,15.987,1261.24,0.03,✔️,0.0,False,CPU,model,
25,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),13846.0,+0/-0,0.356,26.0,26.0,16.212,456.33,1.17,✔️,0.0,False,CPU,model,
26,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),13174.0,+0/-0,0.343,27.0,27.0,16.478,456.33,0.047,✔️,0.0,False,CPU,model,
27,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),12478.0,+0/-0,0.343,28.0,28.0,16.478,0.32,0.047,✔️,0.0,False,CPU,model,
28,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),11759.0,+0/-0,0.311,29.0,29.0,17.146,1229.42,21.741,✔️,0.0,False,GPU,model,
29,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),11111.0,+0/-0,0.266,30.0,30.0,18.05,4378.88,25.595,✔️,0.0,False,GPU,model,
30,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),10512.0,+0/-0,0.264,31.0,31.0,18.11,3.59,0.022,✔️,0.0,False,CPU,model,
31,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),9890.0,+0/-0,0.236,32.0,32.0,18.658,13.87,0.014,✔️,0.0,False,CPU,model,
32,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),9254.0,+0/-0,0.235,33.0,33.0,18.677,4378.88,2.216,✔️,0.0,False,GPU,model,
33,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),8615.0,+0/-0,0.207,34.0,34.0,19.238,1.48,0.535,✔️,0.0,False,GPU,model,
34,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564),8213.0,+0/-0,0.147,35.0,35.0,20.39,2.79,1.057,✔️,0.0,False,GPU,model,
35,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),7569.0,+0/-0,0.115,36.0,36.0,20.995,28.44,0.174,✔️,0.0,False,CPU,model,
36,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),6911.0,+0/-0,0.094,37.0,37.0,21.382,1229.42,7.785,✔️,0.0,False,GPU,model,
37,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),6395.0,+0/-0,0.094,38.0,38.0,21.382,52.48,7.785,✔️,0.0,False,GPU,model,
38,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),5722.0,+0/-0,0.062,39.0,39.0,21.982,28.44,0.009,✔️,0.0,False,CPU,model,
39,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),5168.0,+0/-0,0.0,40.0,40.0,24.172,0.58,0.199,➖,0.0,False,GPU,model,
40,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),4495.0,+0/-0,0.0,41.0,41.0,24.336,4391.01,275.95,✔️,0.0,False,GPU,model,
41,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),3979.0,+0/-0,0.0,42.0,42.0,24.898,2341.94,0.027,✔️,0.0,False,CPU,model,
42,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),3321.0,+0/-0,0.0,43.0,43.0,25.137,1142.35,0.542,✔️,0.0,False,GPU,model,
43,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),2677.0,+0/-0,0.0,44.0,44.0,25.162,1142.35,0.057,✔️,0.0,False,GPU,model,
44,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),2276.0,+0/-0,0.0,45.0,45.0,25.213,14.53,1.747,✔️,0.0,False,GPU,model,
45,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1636.0,+0/-0,0.0,46.0,46.0,25.279,2341.94,0.172,✔️,0.0,False,CPU,model,
46,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+0/-0,0.0,47.0,47.0,28.096,0.18,0.007,✔️,0.0,False,CPU,model,
